iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:13:57 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -23.1 16.9 12.6 -0.73 0.04 0.36 37.428024 -122.174271 34.9 -0.1991 -0.2391 -0.2845 -2.144 -0.185 2.544
0.06 -23.1 16.9 12.6 -0.70 0.07 0.38 37.428024 -122.174271 34.9 -0.1065 -0.4044 -0.2294 -2.159 -0.174 2.546
0.10 -22.9 15.9 13.7 -0.73 0.05 0.40 37.428024 -122.174271 34.9 -0.1403 -0.2827 -0.0801 -2.168 -0.169 2.546
0.13 -22.9 15.9 13.7 -0.83 0.05 0.39 37.428024 -122.174271 34.9 -0.0118 -0.6531 -0.1449 -2.174 -0.159 2.547
0.16 -23.4 16.3 15.4 -0.74 0.08 0.39 37.428024 -122.174271 34.9 0.0774 -0.6060 -0.2050 -2.193 -0.155 2.551
0.19 -23.4 16.3 15.4 -0.71 0.10 0.54 37.428024 -122.174271 34.9 0.3380 -0.4011 -0.0199 -2.209 -0.158 2.560
0.22 -23.2 16.5 16.0 -0.66 0.12 0.56 37.428024 -122.174271 34.9 0.3040 -0.4991 0.1547 -2.224 -0.167 2.568
0.25 -23.2 16.5 16.0 -0.62 0.08 0.53 37.428024 -122.174271 34.9 0.3327 -0.6729 0.5004 -2.240 -0.181 2.569
0.28 -21.5 16.2 16.6 -0.56 0.03 0.52 37.428024 -122.174271 34.9 0.4821 -0.6789 0.7215 -2.262 -0.203 2.568
0.31 -21.5 16.2 16.6 -0.34 -0.04 0.41 37.428024 -122.174271 34.9 0.5499 -0.4528 0.7574 -2.277 -0.228 2.565
0.35 -20.6 17.0 16.7 0.04 -0.11 0.20 37.428024 -122.174271 34.9 1.0223 -0.5469 1.3745 -2.296 -0.274 2.562
0.38 -20.6 17.0 16.7 0.10 -0.03 0.12 37.428024 -122.174271 34.9 1.6084 -0.3489 2.1171 -2.312 -0.337 2.556
0.41 -19.0 19.0 16.3 -0.06 0.01 0.09 37.428024 -122.174271 34.9 2.1911 -0.1869 2.6728 -2.323 -0.426 2.550
0.44 -19.0 19.0 16.3 -0.10 -0.02 -0.04 37.428024 -122.174271 34.9 2.4641 0.2699 2.7964 -2.323 -0.528 2.545
0.47 -15.0 24.9 14.5 -0.38 0.01 -0.33 37.428024 -122.174271 34.9 2.9389 0.3160 2.6624 -2.312 -0.707 2.545
0.50 -15.0 24.9 14.5 -0.60 -0.07 -0.33 37.428024 -122.174271 34.9 2.9458 1.1272 1.8880 -2.266 -0.809 2.577
0.53 -11.5 28.6 12.2 -0.75 -0.10 -0.78 37.428024 -122.174271 34.9 3.0329 1.4949 1.2364 -2.181 -0.891 2.639
0.56 -11.5 28.6 12.2 -1.14 -0.10 -1.08 37.428024 -122.174271 34.9 3.3719 1.3025 0.9380 -2.058 -0.964 2.744
0.60 -7.6 32.4 4.9 -1.38 -0.09 -1.57 37.428024 -122.174271 34.9 3.7660 1.7092 0.0814 -1.827 -1.030 2.956
0.63 -7.6 32.4 4.9 -1.87 0.13 -1.74 37.428024 -122.174271 34.9 4.7170 1.5413 -0.1046 -1.578 -1.043 -3.093
0.66 -6.6 34.0 -2.5 -1.97 0.34 -2.00 37.428024 -122.174271 34.9 5.1701 0.7812 -0.7055 -1.318 -1.016 -2.825
0.69 -6.6 34.0 -2.5 -1.97 0.28 -2.00 37.428024 -122.174271 34.9 5.0600 1.3955 -1.8234 -1.054 -0.895 -2.550
0.72 -8.4 33.5 -17.4 -1.97 0.68 -2.01 37.428024 -122.174271 34.9 6.6014 -0.0231 -2.3346 -0.888 -0.707 -2.349
0.75 -8.4 33.5 -17.4 -1.70 0.76 -2.00 37.428024 -122.174271 34.9 6.2598 0.6571 -4.0798 -0.828 -0.517 -2.255
0.78 -13.3 26.0 -28.6 -1.28 0.83 -2.00 37.428024 -122.174271 34.9 5.8250 2.1560 -3.8448 -0.765 -0.320 -2.214
0.81 -13.3 26.0 -28.6 -1.59 1.43 -2.00 37.428024 -122.174271 34.9 7.3499 1.5043 -2.0020 -0.702 -0.130 -2.148
