iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:12:28 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -30.1 -9.9 -16.2 -0.90 -0.63 -0.67 37.428024 -122.174271 34.9 0.4038 -1.1505 -1.8037 -1.017 0.629 2.408
0.06 -29.3 -12.1 -13.1 -0.90 -0.63 -0.67 37.428024 -122.174271 34.9 0.6419 -2.0711 -1.1748 -1.070 0.687 2.392
0.10 -29.3 -12.1 -13.1 -0.81 -0.68 -0.50 37.428024 -122.174271 34.9 0.8301 -2.6832 -1.0027 -1.169 0.732 2.405
0.13 -29.3 -15.7 -7.6 -0.55 -0.64 -0.45 37.428024 -122.174271 34.9 0.8591 -3.0160 -0.9418 -1.260 0.767 2.422
0.16 -29.3 -15.7 -7.6 -0.55 -0.64 -0.45 37.428024 -122.174271 34.9 0.9110 -3.4449 -0.3605 -1.371 0.790 2.449
0.19 -29.8 -17.0 -3.3 -0.49 -0.62 -0.16 37.428024 -122.174271 34.9 0.7279 -3.6796 0.3177 -1.543 0.791 2.499
0.22 -29.8 -17.0 -3.3 -0.32 -0.62 -0.12 37.428024 -122.174271 34.9 0.1708 -4.1450 0.9139 -1.660 0.774 2.511
0.25 -29.8 -18.1 3.2 -0.27 -0.48 0.01 37.428024 -122.174271 34.9 0.4215 -4.8420 1.8344 -1.790 0.732 2.513
0.28 -29.8 -18.1 3.2 -0.33 -0.45 0.26 37.428024 -122.174271 34.9 0.3511 -3.7962 2.5709 -1.906 0.667 2.506
0.31 -29.3 -15.0 12.7 -0.54 -0.40 0.29 37.428024 -122.174271 34.9 -0.0170 -3.4381 2.8311 -2.008 0.570 2.463
0.35 -29.3 -15.0 12.7 -0.64 -0.35 0.48 37.428024 -122.174271 34.9 0.3083 -3.4791 2.4909 -2.122 0.478 2.417
0.38 -27.6 -10.9 18.1 -0.58 -0.35 0.45 37.428024 -122.174271 34.9 -0.2154 -1.9003 1.9187 -2.177 0.428 2.379
0.41 -27.6 -10.9 18.1 -0.36 -0.29 0.44 37.428024 -122.174271 34.9 -0.1894 -1.6079 1.7117 -2.207 0.392 2.344
0.44 -25.4 -6.0 24.5 -0.38 -0.29 0.50 37.428024 -122.174271 34.9 -0.0017 -2.1218 2.1965 -2.248 0.349 2.306
0.47 -25.4 -6.0 24.5 -0.46 -0.36 0.44 37.428024 -122.174271 34.9 -0.1441 -0.9162 2.0064 -2.288 0.288 2.249
0.50 -23.9 -3.2 27.1 -0.37 -0.32 0.43 37.428024 -122.174271 34.9 -0.0161 -0.3879 1.7477 -2.294 0.252 2.213
0.53 -23.9 -3.2 27.1 -0.36 -0.36 0.41 37.428024 -122.174271 34.9 0.1884 -0.7611 2.0156 -2.304 0.210 2.179
0.56 -21.8 -0.6 29.1 -0.29 -0.41 0.15 37.428024 -122.174271 34.9 0.1652 -0.4521 1.9644 -2.316 0.165 2.144
0.60 -21.8 -0.6 29.1 -0.23 -0.42 0.15 37.428024 -122.174271 34.9 0.7939 0.2745 2.0209 -2.307 0.080 2.102
0.63 -21.2 1.2 29.5 -0.13 -0.37 0.08 37.428024 -122.174271 34.9 1.2264 0.2643 1.9664 -2.299 0.019 2.087
0.66 -21.2 1.2 29.5 -0.21 -0.25 0.04 37.428024 -122.174271 34.9 1.5589 0.7609 2.1427 -2.284 -0.051 2.080
0.69 -20.4 7.3 28.1 -0.40 -0.18 -0.01 37.428024 -122.174271 34.9 1.8219 1.0672 2.3164 -2.258 -0.130 2.076
0.72 -20.4 7.3 28.1 -0.36 -0.06 -0.13 37.428024 -122.174271 34.9 2.2987 1.1001 2.0240 -2.214 -0.239 2.086
0.75 -19.4 12.3 26.7 -0.44 0.06 -0.30 37.428024 -122.174271 34.9 2.5567 1.0553 1.9647 -2.179 -0.325 2.111
0.78 -19.4 12.3 26.7 -0.47 0.14 -0.49 37.428024 -122.174271 34.9 2.8768 1.4513 1.7238 -2.130 -0.410 2.150
0.81 -18.0 19.3 23.1 -0.55 0.28 -0.77 37.428024 -122.174271 34.9 3.1403 1.8958 1.5726 -2.048 -0.493 2.210
0.85 -18.0 19.3 23.1 -0.67 0.35 -0.97 37.428024 -122.174271 34.9 3.9307 1.4465 1.6053 -1.893 -0.625 2.358
0.88 -17.5 23.4 19.0 -0.79 0.48 -1.08 37.428024 -122.174271 34.9 4.3147 1.8502 1.5410 -1.767 -0.698 2.486
0.91 -17.5 23.4 19.0 -0.86 0.47 -1.09 37.428024 -122.174271 34.9 4.5691 2.0440 1.3793 -1.606 -0.753 2.645
0.94 -16.8 27.9 12.1 -0.78 0.41 -1.41 37.428024 -122.174271 34.9 4.6207 1.7074 0.9625 -1.428 -0.777 2.826
0.97 -16.8 27.9 12.1 -0.94 0.38 -1.99 37.428024 -122.174271 34.9 4.5584 1.6305 0.8597 -1.204 -0.765 3.066
1.00 -15.1 32.0 -2.3 -0.98 0.40 -1.99 37.428024 -122.174271 34.9 4.9310 1.3060 0.8898 -1.041 -0.731 -3.039
1.03 -15.1 32.0 -2.3 -0.83 0.52 -1.99 37.428024 -122.174271 34.9 5.1217 1.3369 0.5574 -0.900 -0.668 -2.873
1.06 -14.4 31.3 -13.2 -0.82 0.59 -1.99 37.428024 -122.174271 34.9 5.1945 1.9498 0.6414 -0.769 -0.582 -2.730
1.10 -14.4 31.3 -13.2 -0.97 0.94 -1.99 37.428024 -122.174271 34.9 6.1033 1.0348 0.8488 -0.594 -0.404 -2.499
1.13 -13.0 19.4 -30.7 -0.76 1.32 -1.99 37.428024 -122.174271 34.9 6.5428 1.6748 0.3017 -0.521 -0.260 -2.389
1.16 -13.0 19.4 -30.7 -0.88 1.57 -1.99 37.428024 -122.174271 34.9 6.9783 1.6235 1.1261 -0.452 -0.102 -2.282
1.19 -11.3 4.1 -36.9 -0.82 1.61 -1.99 37.428024 -122.174271 34.9 7.1910 0.8826 1.2402 -0.420 0.062 -2.165
1.22 -11.3 4.1 -36.9 -0.66 1.54 -1.99 37.428024 -122.174271 34.9 6.8240 1.2364 0.4861 -0.399 0.291 -2.034
1.25 -12.0 -18.6 -30.2 -0.59 1.32 -1.99 37.428024 -122.174271 34.9 6.2242 0.7726 0.3608 -0.404 0.452 -1.947
1.28 -12.0 -18.6 -30.2 -0.49 1.07 -1.54 37.428024 -122.174271 34.9 5.4174 0.6438 -0.0117 -0.426 0.598 -1.867
1.31 -13.7 -27.9 -21.2 -0.23 0.78 -1.16 37.428024 -122.174271 34.9 4.5486 1.0730 -0.6530 -0.440 0.727 -1.805
1.35 -13.7 -27.9 -21.2 0.09 0.48 -0.80 37.428024 -122.174271 34.9 3.3981 1.3847 -0.9290 -0.412 0.903 -1.756
1.38 -13.4 -35.6 -11.4 0.14 0.29 -0.54 37.428024 -122.174271 34.9 2.9820 1.2078 -0.6705 -0.394 0.992 -1.734
1.41 -13.4 -35.6 -11.4 -0.03 0.12 -0.31 37.428024 -122.174271 34.9 2.3962 0.8247 0.0428 -0.404 1.064 -1.690
1.44 -12.1 -39.5 -7.4 0.03 -0.02 -0.41 37.428024 -122.174271 34.9 1.7191 0.1410 0.2597 -0.449 1.114 -1.626
1.47 -12.1 -39.5 -7.4 -0.04 -0.23 -0.08 37.428024 -122.174271 34.9 1.9269 0.6748 0.2159 -0.519 1.165 -1.543
1.50 -11.8 -41.3 -4.6 -0.22 -0.38 0.06 37.428024 -122.174271 34.9 1.3412 0.7055 0.4394 -0.573 1.199 -1.458
1.53 -11.8 -41.3 -4.6 -0.22 -0.38 0.06 37.428024 -122.174271 34.9 0.7596 -0.5124 0.5096 -0.649 1.214 -1.378
1.56 -11.7 -43.9 -1.3 -0.14 -0.47 -0.13 37.428024 -122.174271 34.9 0.8081 -0.0707 0.1913 -0.710 1.223 -1.327
1.60 -11.7 -43.9 -1.3 -0.18 -0.67 -0.16 37.428024 -122.174271 34.9 0.3122 0.8021 0.1732 -0.741 1.239 -1.256
1.63 -11.8 -45.1 -0.1 -0.23 -0.75 -0.17 37.428024 -122.174271 34.9 0.3317 0.2006 0.1577 -0.760 1.243 -1.223
1.66 -11.8 -45.1 -0.1 -0.14 -0.75 -0.14 37.428024 -122.174271 34.9 0.6285 0.5619 0.1739 -0.791 1.251 -1.181
1.69 -13.0 -45.0 0.5 -0.16 -0.80 -0.09 37.428024 -122.174271 34.9 0.1595 0.6364 0.3120 -0.812 1.253 -1.140
1.72 -13.0 -45.0 0.5 -0.28 -0.82 -0.15 37.428024 -122.174271 34.9 0.1812 0.1435 0.3091 -0.835 1.246 -1.101
1.75 -13.5 -45.0 0.9 -0.17 -0.79 -0.17 37.428024 -122.174271 34.9 0.2552 0.1834 0.2381 -0.858 1.245 -1.073
1.78 -13.5 -45.0 0.9 -0.22 -0.80 -0.13 37.428024 -122.174271 34.9 0.0775 0.3124 0.3787 -0.880 1.242 -1.042
1.81 -15.2 -45.6 -0.7 -0.27 -0.81 -0.20 37.428024 -122.174271 34.9 0.0334 -0.0030 0.4322 -0.899 1.233 -1.018
1.85 -15.2 -45.6 -0.7 -0.32 -0.83 -0.05 37.428024 -122.174271 34.9 -0.2732 0.5318 0.1104 -0.915 1.222 -0.994
1.88 -16.3 -45.4 -0.7 -0.17 -0.82 -0.27 37.428024 -122.174271 34.9 -0.3540 0.5229 0.1571 -0.881 1.214 -1.012
1.91 -16.3 -45.4 -0.7 -0.26 -0.86 -0.23 37.428024 -122.174271 34.9 0.0222 0.2941 0.3679 -0.884 1.212 -0.999
