iPhone Sensor Log from Crossbow started at Dec 14, 2011 12:36:14 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -1.3 3.4 -16.9 0.02 -0.43 -0.95 37.428767 -122.173634 34.0 -0.3601 -0.1876 -0.0582 0.035 0.432 -3.077
0.06 -1.6 3.8 -16.7 0.03 -0.41 -0.95 37.428767 -122.173634 34.0 -0.1543 -0.1085 -0.0116 0.031 0.425 -3.078
0.10 -1.6 3.8 -16.7 0.06 -0.31 -0.88 37.427933 -122.174555 34.0 -0.0710 -0.0900 0.0257 0.028 0.425 -3.078
0.13 -1.9 4.3 -16.4 -0.01 -0.42 -0.95 37.427933 -122.174555 34.0 -0.3690 -0.3343 0.0891 0.023 0.420 -3.076
0.16 -1.9 4.3 -16.4 -0.00 -0.42 -1.04 37.427933 -122.174555 34.0 -0.3035 -0.2074 0.0320 0.009 0.407 -3.070
0.19 -3.0 4.4 -16.6 -0.06 -0.41 -0.96 37.427933 -122.174555 34.0 0.0258 -0.3878 -0.0600 -0.003 0.404 -3.070
0.22 -3.0 4.4 -16.6 0.08 -0.43 -1.00 37.427933 -122.174555 34.0 0.2117 0.0563 -0.0469 -0.006 0.409 -3.071
0.25 -3.6 4.8 -16.8 -0.03 -0.37 -0.85 37.427933 -122.174555 34.0 -0.2657 -0.3826 0.0440 -0.006 0.407 -3.071
0.28 -3.6 4.8 -16.8 -0.09 -0.35 -0.95 37.427933 -122.174555 34.0 -0.8270 -0.2350 -0.0814 -0.018 0.393 -3.070
0.31 -3.1 4.7 -16.9 -0.02 -0.34 -0.91 37.427933 -122.174555 34.0 -1.1084 -0.5934 0.4462 -0.045 0.339 -3.057
0.35 -3.1 4.7 -16.9 -0.11 -0.19 -0.92 37.427933 -122.174555 34.0 -1.1697 -0.4899 0.5307 -0.065 0.309 -3.047
0.38 -2.8 5.5 -16.8 -0.09 -0.22 -0.95 37.427933 -122.174555 34.0 -1.4935 -0.0087 0.5453 -0.072 0.269 -3.031
0.41 -2.8 5.5 -16.8 -0.05 -0.17 -0.91 37.427933 -122.174555 34.0 -0.5412 0.0751 0.0612 -0.070 0.232 -3.025
0.44 -2.6 6.6 -16.0 -0.03 -0.05 -0.94 37.427933 -122.174555 34.0 -0.2415 -0.3370 0.1794 -0.078 0.222 -3.022
0.47 -2.6 6.6 -16.0 -0.12 -0.36 -0.88 37.427933 -122.174555 34.0 0.4260 0.6533 -0.2315 -0.069 0.231 -3.022
0.50 -2.7 6.9 -15.6 -0.16 -0.25 -0.94 37.427933 -122.174555 34.0 0.6313 0.1894 -0.0183 -0.060 0.249 -3.026
0.53 -2.7 6.9 -15.6 0.15 -0.28 -0.92 37.427933 -122.174555 34.0 -0.0463 0.5757 -0.6602 -0.033 0.264 -3.041
0.56 -2.7 6.8 -14.7 -0.10 -0.27 -0.93 37.427933 -122.174555 34.0 -0.5659 0.6909 0.1114 -0.004 0.253 -3.053
0.60 -2.7 6.8 -14.7 0.04 -0.20 -1.05 37.427933 -122.174555 34.0 -0.3410 -0.9626 -0.6764 -0.014 0.242 -3.055
0.63 -2.6 6.6 -14.9 0.09 -0.19 -0.72 37.427933 -122.174555 34.0 0.0094 -1.9513 -1.0828 -0.054 0.237 -3.087
0.66 -2.6 6.6 -14.9 -0.09 -0.21 -0.90 37.427933 -122.174555 34.0 -0.3216 -0.5666 0.2731 -0.100 0.239 -3.096
0.69 -3.3 7.0 -15.7 0.10 -0.13 -1.03 37.427933 -122.174555 34.0 -1.1560 0.0256 0.2623 -0.104 0.214 -3.089
0.72 -3.3 7.0 -15.7 0.20 -0.13 -0.96 37.427933 -122.174555 34.0 -1.0641 -0.2225 -0.3603 -0.108 0.184 -3.097
0.75 -3.4 7.9 -14.8 0.13 -0.18 -1.15 37.427933 -122.174555 34.0 -0.7179 0.2686 0.3070 -0.105 0.159 -3.100
0.78 -3.4 7.9 -14.8 0.13 -0.18 -1.15 37.427933 -122.174555 34.0 -1.4635 0.4142 0.6652 -0.095 0.123 -3.082
0.81 -3.5 8.8 -14.7 0.33 -0.24 -1.37 37.427933 -122.174555 34.0 -1.0502 0.4364 1.0041 -0.084 0.073 -3.059
