iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:37:12 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 31.3 -2.1 -13.7 0.44 -0.49 -0.64 37.428012 -122.174242 34.6 -0.1751 -0.4559 0.1610 0.626 0.475 -2.180
0.06 31.3 -2.1 -13.7 0.53 -0.49 -0.60 37.428012 -122.174242 34.6 -0.1160 -0.3139 -0.5048 0.618 0.473 -2.191
0.10 31.5 -3.8 -12.3 0.53 -0.44 -0.59 37.428012 -122.174242 34.6 -0.3110 -1.2035 -0.6113 0.601 0.459 -2.202
0.13 31.5 -3.8 -12.3 0.35 -0.32 -0.76 37.428012 -122.174242 34.6 -0.8600 -1.8079 -0.9121 0.560 0.435 -2.212
0.16 31.3 -2.9 -12.3 0.38 -0.23 -0.88 37.428012 -122.174242 34.6 -1.4393 -1.4376 -1.4890 0.517 0.387 -2.226
0.19 31.3 -2.9 -12.3 0.42 -0.33 -0.96 37.428012 -122.174242 34.6 -1.2708 -0.1544 -1.5470 0.508 0.314 -2.252
0.22 30.5 0.5 -14.8 0.49 -0.26 -0.90 37.428012 -122.174242 34.6 -0.9772 -0.8231 -1.3120 0.498 0.268 -2.272
0.25 30.5 0.5 -14.8 0.40 -0.30 -0.73 37.428012 -122.174242 34.6 -0.2814 -1.7705 -0.9523 0.467 0.240 -2.293
0.28 29.9 2.7 -16.2 0.33 -0.28 -0.90 37.428012 -122.174242 34.6 -0.6997 -2.6794 -0.9401 0.406 0.219 -2.313
0.31 29.9 2.7 -16.2 0.12 -0.07 -0.59 37.428012 -122.174242 34.6 0.0676 -5.5469 -0.4353 0.263 0.199 -2.323
0.35 25.9 6.8 -21.0 -0.16 -0.10 -0.61 37.428012 -122.174242 34.6 -1.3178 -5.5164 0.5096 0.022 0.195 -2.349
0.38 25.9 6.8 -21.0 -0.13 0.03 -0.98 37.428012 -122.174242 34.6 -4.2857 -3.0284 2.6303 -0.101 0.097 -2.295
0.41 20.8 8.2 -25.4 -0.08 0.27 -1.17 37.428012 -122.174242 34.6 -2.6314 -1.8536 3.6519 -0.163 -0.012 -2.215
0.44 20.8 8.2 -25.4 -0.04 -0.07 -0.36 37.428012 -122.174242 34.6 1.3564 -3.2121 0.4033 -0.270 -0.018 -2.148
0.47 14.9 9.3 -29.5 0.09 0.02 -0.78 37.428012 -122.174242 34.6 -0.4875 0.4130 1.1959 -0.303 -0.014 -2.124
0.50 14.9 9.3 -29.5 0.18 0.27 -0.60 37.428012 -122.174242 34.6 -0.7283 1.5081 2.4325 -0.255 -0.050 -2.080
0.53 13.5 9.5 -31.0 -0.23 0.11 -0.61 37.428012 -122.174242 34.6 -0.3109 -1.3297 4.2834 -0.255 -0.085 -1.988
0.56 13.5 9.5 -31.0 -0.21 0.65 -1.13 37.428012 -122.174242 34.6 -2.5979 -4.7568 3.1403 -0.407 -0.211 -1.854
0.60 12.2 9.0 -31.5 -1.96 0.91 -2.01 37.428012 -122.174242 34.6 -3.4270 -4.6086 6.0647 -0.492 -0.365 -1.768
0.63 12.2 9.0 -31.5 -1.96 1.19 -2.01 37.428012 -122.174242 34.6 -2.1701 -5.7569 4.1590 -0.612 -0.505 -1.679
0.66 7.8 10.5 -32.2 -1.95 1.50 -2.01 37.428012 -122.174242 34.6 1.6869 -4.5127 -0.3541 -0.728 -0.527 -1.636
0.69 7.8 10.5 -32.2 -1.95 1.84 -1.96 37.428012 -122.174242 34.6 2.9146 -5.1842 -2.8630 -0.896 -0.407 -1.611
0.72 0.7 11.2 -33.3 -1.96 1.94 -0.99 37.428012 -122.174242 34.6 3.9646 -5.4377 -5.0626 -1.040 -0.258 -1.594
0.75 0.7 11.2 -33.3 -1.84 1.95 -0.70 37.428012 -122.174242 34.6 4.6577 -5.3167 -7.5111 -1.185 -0.042 -1.561
0.78 -11.0 0.7 -31.1 -1.25 1.97 -0.18 37.428012 -122.174242 34.6 4.1398 -6.1073 -9.5908 -1.349 0.230 -1.518
0.81 -11.0 0.7 -31.1 -1.25 1.97 -0.18 37.428012 -122.174242 34.6 3.1722 -6.8931 -10.6426 -1.646 0.620 -1.398
0.85 -13.9 -11.2 -25.5 -0.56 1.99 0.39 37.428012 -122.174242 34.6 0.3878 -6.2841 -10.1198 -2.079 0.978 -1.148
0.88 -13.9 -11.2 -25.5 -0.14 2.00 0.37 37.428012 -122.174242 34.6 -2.2530 -4.5743 -9.1725 -2.527 1.200 -0.814
0.91 -6.9 -22.6 -17.6 0.31 2.01 -0.13 37.428012 -122.174242 34.6 -3.3020 -3.0257 -8.5185 2.915 1.340 -0.041
0.94 -6.9 -22.6 -17.6 1.18 1.96 -0.27 37.428012 -122.174242 34.6 -2.6262 -4.4317 -6.6652 1.823 1.206 0.955
0.97 -0.3 -22.3 -17.4 1.49 1.40 -0.12 37.428012 -122.174242 34.6 -2.3290 -7.3819 -3.9878 1.481 1.071 1.143
1.00 -0.3 -22.3 -17.4 1.20 0.97 0.04 37.428012 -122.174242 34.6 -2.5632 -8.1717 -1.4914 1.171 0.986 1.240
1.03 0.2 -18.2 -19.6 0.71 0.91 0.15 37.428012 -122.174242 34.6 -3.0060 -6.9757 0.7778 0.867 0.941 1.355
1.06 0.2 -18.2 -19.6 0.47 1.06 0.13 37.428012 -122.174242 34.6 -3.9335 -5.4522 3.3743 0.460 0.887 1.593
1.10 -5.6 -16.0 -20.5 0.01 1.45 0.15 37.428012 -122.174242 34.6 -4.5471 -5.3981 6.1448 0.018 0.772 1.915
1.13 -5.6 -16.0 -20.5 -0.75 1.98 0.01 37.428012 -122.174242 34.6 -4.8537 -5.5941 7.0662 -0.275 0.616 2.137
1.16 -16.3 -5.8 -19.2 -1.26 1.96 -0.44 37.428012 -122.174242 34.6 -4.2285 -7.8158 7.2992 -0.543 0.420 2.291
1.19 -16.3 -5.8 -19.2 -1.42 1.96 -0.85 37.428012 -122.174242 34.6 -2.2896 -7.9382 9.2137 -0.898 0.126 2.447
1.22 -22.3 6.4 -12.5 -1.60 1.95 -1.07 37.428012 -122.174242 34.6 -0.5384 -4.1516 10.8016 -1.066 -0.128 2.572
1.25 -22.3 6.4 -12.5 -1.95 1.93 -2.01 37.428012 -122.174242 34.6 0.3668 -0.9351 11.3282 -1.073 -0.406 2.726
1.28 -18.0 25.9 -2.6 -1.95 1.93 -2.01 37.428012 -122.174242 34.6 2.9486 -3.2126 8.4818 -1.029 -0.620 2.934
1.31 -18.0 25.9 -2.6 -1.89 1.94 -1.70 37.428012 -122.174242 34.6 5.3358 -5.2457 5.4331 -0.994 -0.708 -3.094
1.35 -8.0 32.8 -4.9 -1.96 1.94 -0.90 37.428012 -122.174242 34.6 8.1330 -3.1342 5.0353 -0.882 -0.698 -2.568
1.38 -8.0 32.8 -4.9 -1.95 1.94 -1.44 37.428012 -122.174242 34.6 8.5264 3.0008 5.4569 -0.647 -0.638 -2.220
1.41 0.4 30.7 -13.8 -1.96 1.94 -1.21 37.428012 -122.174242 34.6 9.3513 1.8494 1.9108 -0.429 -0.472 -1.967
1.44 0.4 30.7 -13.8 -1.81 1.95 -0.34 37.428012 -122.174242 34.6 9.8163 -2.0513 -3.4063 -0.429 -0.120 -1.867
1.47 6.7 14.4 -28.9 -1.21 1.24 0.88 37.428012 -122.174242 34.6 8.7877 1.5741 -3.2679 -0.436 0.159 -1.845
1.50 6.7 14.4 -28.9 -0.61 0.48 0.82 37.428012 -122.174242 34.6 6.3913 4.8789 -2.6182 -0.333 0.375 -1.837
1.53 10.7 1.0 -32.2 -0.13 0.12 1.04 37.428012 -122.174242 34.6 5.1609 3.1132 -2.7100 -0.203 0.552 -1.871
1.56 10.7 1.0 -32.2 0.16 -0.03 -0.05 37.428012 -122.174242 34.6 0.7740 0.6270 -1.8885 -0.095 0.664 -1.959
1.60 17.1 -9.9 -27.0 -0.01 -0.16 -0.33 37.428012 -122.174242 34.6 0.2719 1.2771 -1.0445 -0.026 0.663 -2.014
1.63 17.1 -9.9 -27.0 0.30 -0.27 -0.13 37.428012 -122.174242 34.6 1.1527 0.0901 -1.8511 0.023 0.688 -2.068
