iPhone Sensor Log from Crossbow started at Nov 17, 2011 15:20:55 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.04 -19.8 -1.4 -44.7 0.09 -0.12 -0.95 37.425930 -122.151760 21.0 -0.0878 0.1316 -0.0565 0.098 0.121 -0.253
0.07 -19.8 -1.4 -44.7 0.10 -0.12 -0.98 37.425930 -122.151760 21.0 -0.1014 -0.0742 -0.0651 0.100 0.117 -0.255
0.10 -20.4 -1.3 -44.0 0.12 -0.12 -0.98 37.425930 -122.151760 21.0 -0.0096 0.0809 -0.0796 0.101 0.116 -0.258
0.13 -20.4 -1.3 -44.0 0.14 -0.13 -0.94 37.425930 -122.151760 21.0 -0.3362 -0.1639 -0.0168 0.104 0.112 -0.260
0.16 -20.6 -1.6 -42.5 0.08 -0.07 -1.04 37.425930 -122.151760 21.0 -0.7195 -0.5676 -0.0173 0.087 0.090 -0.258
0.19 -20.6 -1.6 -42.5 0.05 -0.04 -1.11 37.425930 -122.151760 21.0 -0.5628 -0.5348 0.0509 0.071 0.073 -0.257
0.22 -20.5 -1.1 -41.4 0.08 -0.05 -1.04 37.425930 -122.151760 21.0 -0.0945 -0.1970 0.1472 0.062 0.065 -0.254
0.26 -20.5 -1.1 -41.4 0.04 -0.08 -1.03 37.425930 -122.151760 21.0 -0.1251 -0.1273 0.2560 0.054 0.063 -0.244
0.29 -21.6 0.9 -41.5 0.04 -0.06 -1.03 37.425930 -122.151760 21.0 -0.1597 -0.0344 0.1271 0.051 0.060 -0.239
0.32 -21.6 0.9 -41.5 0.07 -0.08 -1.01 37.425930 -122.151760 21.0 -0.0626 -0.0023 0.0709 0.050 0.057 -0.237
0.35 -22.5 2.2 -41.8 0.03 -0.06 -1.00 37.425930 -122.151760 21.0 0.0299 -0.0630 0.0863 0.049 0.058 -0.234
0.38 -22.5 2.2 -41.8 0.04 -0.09 -0.99 37.425930 -122.151760 21.0 0.0241 -0.0511 0.0022 0.046 0.060 -0.233
0.41 -21.9 1.8 -41.7 0.12 -0.03 -0.97 37.425930 -122.151760 21.0 -0.0386 -0.0425 -0.2349 0.048 0.058 -0.239
0.44 -21.9 1.8 -41.7 0.08 -0.10 -0.96 37.425930 -122.151760 21.0 -0.0154 -0.1716 -0.2082 0.044 0.061 -0.247
0.47 -21.8 1.0 -41.2 0.23 -0.12 -1.03 37.425930 -122.151760 21.0 -0.3740 0.0618 -0.4108 0.046 0.056 -0.254
0.51 -21.8 1.0 -41.2 0.23 -0.03 -1.03 37.425930 -122.151760 21.0 -0.1965 -0.0160 -0.6876 0.052 0.045 -0.280
0.54 -22.7 0.9 -41.1 0.28 -0.13 -0.97 37.425930 -122.151760 21.0 -0.0580 -0.3274 -0.2142 0.053 0.044 -0.288
0.57 -22.7 0.9 -41.1 0.39 0.06 -1.07 37.425930 -122.151760 21.0 -0.5375 -0.1326 -0.7545 0.054 0.035 -0.303
0.60 -23.3 1.4 -41.4 0.35 -0.03 -1.17 37.425930 -122.151760 21.0 -1.3391 0.0250 0.0366 0.044 -0.011 -0.323
0.63 -23.3 1.4 -41.4 0.19 0.07 -1.19 37.425930 -122.151760 21.0 -1.0007 -0.6314 0.5899 0.035 -0.041 -0.310
