iPhone Sensor Log from Crossbow started at Nov 17, 2011 15:20:06 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.04 -22.3 3.2 -43.4 0.07 -0.06 -1.06 37.425976 -122.151702 2.1 -0.1963 -0.0237 -0.0443 0.034 0.052 -0.294
0.07 -22.3 3.2 -43.4 0.06 -0.06 -1.03 37.425976 -122.151702 2.1 0.0367 0.1162 0.0189 0.039 0.050 -0.296
0.10 -22.3 3.5 -41.3 0.07 -0.09 -0.97 37.425976 -122.151702 2.1 0.1520 -0.0613 0.1218 0.039 0.053 -0.294
0.13 -22.3 3.5 -41.3 0.06 -0.07 -0.98 37.425976 -122.151702 2.1 0.0722 -0.1074 0.0356 0.038 0.058 -0.292
0.16 -22.6 2.4 -40.9 0.05 -0.03 -1.03 37.425976 -122.151702 2.1 -0.3847 -0.2795 -0.0716 0.030 0.048 -0.294
0.19 -22.6 2.4 -40.9 0.03 -0.01 -1.06 37.425976 -122.151702 2.1 -0.5101 -0.3989 -0.0793 0.022 0.035 -0.296
0.22 -23.1 3.4 -41.2 0.02 -0.04 -1.00 37.425976 -122.151702 2.1 -0.3108 -0.2822 0.0444 0.011 0.023 -0.296
0.25 -23.1 3.4 -41.2 0.02 -0.04 -1.00 37.425976 -122.151702 2.1 -0.2825 -0.1464 0.0449 0.007 0.017 -0.293
0.29 -23.3 5.0 -40.7 0.05 -0.05 -1.00 37.425976 -122.151702 2.1 -0.5163 -0.2089 -0.2223 0.005 0.007 -0.296
0.32 -23.3 5.0 -40.7 0.08 -0.02 -1.06 37.425976 -122.151702 2.1 -0.6386 -0.4017 -0.3399 -0.009 -0.014 -0.307
0.35 -23.1 5.7 -40.5 0.12 0.02 -1.11 37.425976 -122.151702 2.1 -0.6588 -0.0016 -0.1234 -0.016 -0.035 -0.316
0.38 -23.1 5.7 -40.5 0.17 0.01 -1.19 37.425976 -122.151702 2.1 -0.7962 0.1757 -0.1004 -0.014 -0.055 -0.318
0.41 -24.8 6.7 -40.8 0.17 0.06 -1.16 37.425976 -122.151702 2.1 -0.5065 -0.1817 0.0286 -0.012 -0.079 -0.323
0.44 -24.8 6.7 -40.8 0.15 0.01 -1.21 37.425976 -122.151702 2.1 -0.5731 -0.3240 0.3661 -0.020 -0.093 -0.316
