iPhone Sensor Log from Crossbow started at Dec 4, 2011 10:58:31 PM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -2.6 -2.8 -48.9 0.06 -0.10 -0.95 0 0 0 0.0493 -0.0748 0.1146 0.037 0.103 0.002
0.06 -2.9 -3.6 -47.2 0.08 -0.10 -0.97 0 0 0 -0.0453 -0.0373 0.0374 0.038 0.103 0.003
0.10 -2.9 -3.6 -47.2 0.15 -0.06 -0.95 0 0 0 -0.0439 0.0439 0.0141 0.041 0.102 0.004
0.13 -2.4 -3.4 -46.4 0.17 -0.05 -1.08 0 0 0 -0.3324 0.1362 0.0587 0.055 0.092 0.003
0.16 -2.4 -3.4 -46.4 0.17 -0.07 -1.02 0 0 0 -0.2839 -0.0304 0.2471 0.058 0.082 0.009
0.19 -1.3 -1.6 -46.4 0.20 -0.07 -0.92 0 0 0 -0.1090 -0.0590 0.3123 0.063 0.078 0.017
0.22 -1.3 -1.6 -46.4 0.19 -0.06 -0.93 0 0 0 -0.3080 -0.1212 0.3844 0.064 0.073 0.027
0.25 -0.8 -0.4 -46.3 0.20 -0.08 -1.01 0 0 0 -0.5222 -0.1883 0.4385 0.062 0.053 0.047
0.28 -0.8 -0.4 -46.3 0.18 -0.06 -0.94 0 0 0 -0.2895 -0.3155 0.6077 0.056 0.044 0.062
0.31 -0.9 -0.2 -46.3 0.15 -0.04 -1.01 0 0 0 -0.3178 -0.4099 0.7055 0.044 0.038 0.082
0.35 -0.9 -0.2 -46.3 0.15 -0.03 -1.08 0 0 0 -0.4943 0.1129 0.6324 0.042 0.027 0.101
0.38 -0.7 0.7 -46.2 0.15 -0.02 -1.10 0 0 0 -0.3848 -0.0356 0.6599 0.042 0.012 0.125
0.41 -0.7 0.7 -46.2 0.15 -0.02 -1.10 0 0 0 -0.3337 0.0556 0.7218 0.042 0.003 0.145
0.44 0.3 1.7 -46.1 0.14 0.02 -1.23 0 0 0 -0.4019 0.0145 0.7051 0.043 -0.006 0.166
0.47 0.3 1.7 -46.1 0.19 0.06 -1.36 0 0 0 -0.3144 0.0558 0.8695 0.044 -0.016 0.187
0.50 2.8 1.7 -42.1 0.04 0.07 -1.26 0 0 0 0.0786 0.0302 1.2363 0.045 -0.015 0.229
0.53 2.8 1.7 -42.1 -0.02 0.07 -1.25 0 0 0 0.1063 0.3001 1.1747 0.051 -0.010 0.274
0.56 1.2 1.3 -39.0 -0.05 0.05 -1.26 0 0 0 0.1049 0.3299 1.0965 0.062 -0.006 0.305
0.60 1.2 1.3 -39.0 -0.08 0.06 -1.25 0 0 0 0.4296 0.1053 1.0923 0.065 0.006 0.335
