iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:33:44 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -17.5 12.2 -30.9 -0.20 -0.34 -0.88 37.428006 -122.174270 34.0 -0.6429 0.0231 0.0806 -0.300 0.334 2.374
0.06 -17.5 12.2 -30.9 -0.26 -0.34 -0.76 37.428006 -122.174270 34.0 -0.1842 -0.0656 0.2018 -0.299 0.325 2.374
0.10 -18.2 13.2 -29.8 -0.31 -0.28 -0.68 37.428006 -122.174270 34.0 -0.4866 -0.2312 0.2372 -0.308 0.312 2.381
0.13 -18.2 13.2 -29.8 -0.21 -0.24 -0.83 37.428006 -122.174270 34.0 -1.0267 0.1445 0.0084 -0.310 0.291 2.377
0.16 -18.9 14.9 -28.1 -0.21 -0.24 -0.83 37.428006 -122.174270 34.0 -1.4877 0.1214 0.4508 -0.302 0.253 2.372
0.19 -18.9 14.9 -28.1 -0.34 -0.22 -0.96 37.428006 -122.174270 34.0 -1.7292 0.1341 0.5104 -0.301 0.205 2.373
0.22 -18.6 16.5 -27.3 -0.29 -0.02 -1.14 37.428006 -122.174270 34.0 -1.4953 0.5679 0.6522 -0.284 0.141 2.372
0.25 -18.6 16.5 -27.3 -0.30 -0.12 -1.07 37.428006 -122.174270 34.0 -0.9856 0.1643 0.4837 -0.278 0.106 2.379
0.28 -17.8 19.6 -26.0 -0.30 0.00 -1.26 37.428006 -122.174270 34.0 -0.6769 0.5660 0.1264 -0.267 0.080 2.380
0.32 -17.8 19.6 -26.0 -0.18 -0.14 -0.93 37.428006 -122.174270 34.0 0.8377 -0.3688 0.3000 -0.260 0.094 2.394
0.35 -16.8 21.1 -26.2 -0.24 -0.13 -0.76 37.428006 -122.174270 34.0 -0.0518 -0.0025 0.3637 -0.267 0.102 2.405
0.38 -16.8 21.1 -26.2 -0.17 -0.11 -0.86 37.428006 -122.174270 34.0 -0.3785 -0.3366 0.3700 -0.277 0.091 2.411
0.41 -15.8 22.0 -26.5 -0.11 -0.16 -0.70 37.428006 -122.174270 34.0 -0.7842 -0.6543 0.6583 -0.292 0.073 2.421
