iPhone Sensor Log from Crossbow started at Dec 14, 2011 12:41:05 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
1.47 8.8 -1.3 40.4 0.07 1.78 1.91 37.428012 -122.174173 37.7 5.6461 -3.8298 -3.1518 2.758 -0.331 2.194
1.50 16.3 19.9 29.4 0.04 1.87 1.53 37.428012 -122.174173 37.7 4.4008 -3.7181 -3.4748 2.667 -0.492 2.223
1.53 16.3 19.9 29.4 0.13 2.01 1.30 37.428012 -122.174173 37.7 3.8309 -4.0365 -4.0978 2.583 -0.644 2.268
1.56 17.3 30.4 17.1 0.23 2.01 1.26 37.428012 -122.174173 37.7 3.0290 -4.4648 -4.3833 2.503 -0.789 2.328
1.60 17.3 30.4 17.1 0.42 2.02 1.34 37.428012 -122.174173 37.7 1.5472 -5.0190 -5.4612 2.417 -1.027 2.511
1.63 11.0 38.3 -3.3 0.24 2.01 1.28 37.428012 -122.174173 37.7 -0.1275 -4.5087 -5.0790 2.477 -1.134 2.730
1.66 11.0 38.3 -3.3 -0.32 2.00 1.20 37.428012 -122.174173 37.7 -1.5348 -3.0134 -5.3651 2.686 -1.189 3.071
1.69 0.9 41.3 -11.8 -0.34 2.00 0.74 37.428012 -122.174173 37.7 -2.7192 -0.1505 -6.5631 3.084 -1.172 -2.739
1.72 0.9 41.3 -11.8 -0.59 1.99 0.71 37.428012 -122.174173 37.7 -2.4271 3.8304 -7.6878 -2.645 -1.011 -2.212
1.75 -17.0 41.9 -13.9 -0.56 1.99 1.18 37.428012 -122.174173 37.7 -1.3667 6.1539 -8.6367 -2.303 -0.828 -1.962
1.78 -17.0 41.9 -13.9 -0.45 1.99 0.95 37.428012 -122.174173 37.7 -1.0261 9.3507 -8.5214 -1.986 -0.609 -1.822
1.81 -24.9 36.0 -18.2 -0.35 1.67 0.19 37.428012 -122.174173 37.7 -0.4015 10.6256 -7.8068 -1.674 -0.388 -1.775
1.85 -24.9 36.0 -18.2 -0.58 1.11 0.25 37.428012 -122.174173 37.7 1.0851 7.7323 -5.4222 -1.248 -0.082 -1.801
1.88 -19.7 22.2 -30.0 -0.61 0.78 0.27 37.428012 -122.174173 37.7 0.9037 6.6955 -4.7367 -1.056 0.054 -1.829
1.91 -19.7 22.2 -30.0 -0.32 0.43 -0.29 37.428012 -122.174173 37.7 0.7610 7.3952 -4.6932 -0.849 0.174 -1.888
1.94 -9.7 16.1 -33.7 -0.39 0.08 -0.42 37.428012 -122.174173 37.7 1.5027 6.0058 -3.5589 -0.654 0.277 -1.953
1.97 -9.7 16.1 -33.7 -0.34 -0.00 -0.50 37.428012 -122.174173 37.7 1.6014 5.0707 -1.9949 -0.444 0.376 -2.004
2.00 -1.4 11.4 -34.1 -0.32 -0.29 -0.55 37.428012 -122.174173 37.7 1.7198 4.6082 -2.1840 -0.290 0.441 -2.044
2.03 -1.4 11.4 -34.1 -0.18 -0.17 -0.49 37.428012 -122.174173 37.7 1.5589 2.9637 -1.8693 -0.165 0.503 -2.100
2.07 8.7 7.1 -32.7 -0.14 -0.29 -0.52 37.428012 -122.174173 37.7 0.3174 3.3233 -1.2167 -0.059 0.527 -2.139
2.10 8.7 7.1 -32.7 -0.15 -0.27 -0.72 37.428012 -122.174173 37.7 0.4789 2.3313 -1.1503 0.106 0.538 -2.207
2.13 12.7 6.3 -31.8 -0.08 -0.26 -0.37 37.428012 -122.174173 37.7 1.6195 1.8998 -1.2865 0.183 0.563 -2.252
2.16 12.7 6.3 -31.8 0.18 -0.42 -0.25 37.428012 -122.174173 37.7 2.0224 2.3242 -0.8912 0.273 0.610 -2.304
2.19 16.3 5.3 -29.8 0.27 -0.36 -0.50 37.428012 -122.174173 37.7 0.7672 1.4984 -0.2097 0.343 0.644 -2.331
2.22 16.3 5.3 -29.8 0.20 -0.27 -0.58 37.428012 -122.174173 37.7 -0.4022 1.1286 -0.3568 0.395 0.636 -2.345
2.25 18.2 3.8 -28.1 0.06 -0.30 -0.51 37.428012 -122.174173 37.7 0.0892 0.8350 -0.0158 0.424 0.631 -2.349
2.28 18.2 3.8 -28.1 0.56 -0.62 -0.43 37.428012 -122.174173 37.7 0.5537 0.5124 0.1261 0.443 0.644 -2.349
2.32 20.4 2.7 -26.1 0.27 -0.51 -0.56 37.428012 -122.174173 37.7 0.5841 -0.3410 -0.0811 0.455 0.656 -2.368
2.35 20.4 2.7 -26.1 0.25 -0.60 -0.68 37.428012 -122.174173 37.7 -0.1328 -1.5051 -0.1326 0.399 0.666 -2.362
2.38 20.8 2.4 -25.8 0.37 -0.63 -0.65 37.428012 -122.174173 37.7 -0.1028 -0.6983 -0.5925 0.374 0.658 -2.375
2.41 20.8 2.4 -25.8 0.42 -0.65 -0.71 37.428012 -122.174173 37.7 -0.3259 0.0510 -0.5386 0.387 0.647 -2.396
2.44 19.4 3.5 -27.2 0.33 -0.70 -0.85 37.428012 -122.174173 37.7 -0.5691 -0.6439 -0.2069 0.383 0.632 -2.402
2.47 19.4 3.5 -27.2 0.35 -0.63 -0.89 37.428012 -122.174173 37.7 -0.3762 -0.0136 -0.2850 0.369 0.613 -2.404
2.50 18.9 4.9 -28.3 0.22 -0.62 -0.87 37.428012 -122.174173 37.7 -0.2408 -0.3098 -0.1533 0.359 0.600 -2.403
2.53 18.9 4.9 -28.3 0.23 -0.65 -0.94 37.428012 -122.174173 37.7 -0.2818 -0.3518 -0.0847 0.342 0.594 -2.400
2.56 18.5 5.3 -28.6 0.23 -0.65 -0.94 37.428012 -122.174173 37.7 -0.2992 -0.1145 -0.3034 0.337 0.584 -2.402
2.60 18.5 5.3 -28.6 0.31 -0.58 -0.87 37.428012 -122.174173 37.7 0.2623 0.0219 -0.2122 0.344 0.580 -2.420
2.63 18.5 5.8 -28.3 0.27 -0.57 -0.77 37.428012 -122.174173 37.7 0.3428 -0.0777 -0.1419 0.348 0.593 -2.428
2.66 18.5 5.8 -28.3 0.27 -0.59 -0.75 37.428012 -122.174173 37.7 0.2597 -0.2131 -0.0931 0.346 0.605 -2.434
2.69 17.9 6.1 -27.9 0.32 -0.60 -0.71 37.428012 -122.174173 37.7 0.2278 -0.0571 -0.1926 0.353 0.615 -2.447
2.72 17.9 6.1 -27.9 0.35 -0.61 -0.71 37.428012 -122.174173 37.7 0.0635 -0.0439 -0.1677 0.375 0.623 -2.467
2.75 16.7 6.8 -28.6 0.32 -0.58 -0.76 37.428012 -122.174173 37.7 -0.0504 -0.1401 -0.1133 0.376 0.620 -2.472
