iPhone Sensor Log from Crossbow started at Dec 14, 2011 12:36:02 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
1.35 -8.7 -16.8 -8.9 0.37 -0.23 -0.78 37.428033 -122.174178 34.0 -2.3422 -2.4083 0.0714 0.293 0.864 1.649
1.38 -8.7 -16.8 -8.9 0.32 -0.25 -0.96 37.428033 -122.174178 34.0 -2.4506 -2.2941 0.4258 0.174 0.776 1.695
1.41 -9.9 -15.0 -9.4 0.34 -0.21 -1.15 37.428033 -122.174178 34.0 -2.4201 -1.9142 0.6024 0.094 0.711 1.726
1.44 -9.9 -15.0 -9.4 0.24 -0.22 -1.17 37.428033 -122.174178 34.0 -2.2104 -1.8086 0.9838 0.022 0.648 1.760
1.47 -13.0 -11.9 -10.6 0.15 -0.21 -1.13 37.428033 -122.174178 34.0 -2.1031 -1.3898 1.3379 -0.070 0.571 1.814
1.50 -13.0 -11.9 -10.6 0.18 -0.13 -1.20 37.428033 -122.174178 34.0 -2.3071 -0.9662 1.3962 -0.120 0.506 1.850
1.53 -15.1 -9.8 -11.3 0.10 -0.06 -1.26 37.428033 -122.174178 34.0 -2.3073 -1.0782 1.6922 -0.165 0.435 1.888
1.57 -15.1 -9.8 -11.3 -0.08 0.01 -1.32 37.428033 -122.174178 34.0 -2.2004 -1.4865 2.1258 -0.220 0.363 1.933
1.60 -17.5 -3.9 -10.9 0.02 0.05 -1.49 37.428033 -122.174178 34.0 -2.2110 -1.1654 2.2906 -0.290 0.264 1.996
1.63 -17.5 -3.9 -10.9 -0.13 0.15 -1.66 37.428033 -122.174178 34.0 -1.6799 -1.0109 2.8138 -0.340 0.164 2.064
1.66 -18.0 1.2 -10.0 -0.39 0.14 -1.78 37.428033 -122.174178 34.0 -1.1867 -1.0143 3.1867 -0.380 0.099 2.132
1.69 -18.0 1.2 -10.0 -0.39 0.20 -1.91 37.428033 -122.174178 34.0 -0.8884 -0.3714 3.0655 -0.403 0.040 2.201
1.72 -17.2 8.1 -8.4 -0.54 0.23 -1.92 37.428033 -122.174178 34.0 -0.3272 0.0814 3.1632 -0.407 -0.008 2.274
