iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:38:34 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
1.00 8.9 -18.1 -21.6 0.74 0.53 -0.81 37.428012 -122.174242 34.6 -3.2386 -2.7020 1.7356 0.148 0.916 2.154
1.03 8.9 -18.1 -21.6 0.76 0.65 -0.94 37.428012 -122.174242 34.6 -2.8630 -3.4497 2.3901 -0.017 0.835 2.256
1.06 0.3 -14.8 -26.4 0.47 0.79 -1.15 37.428012 -122.174242 34.6 -3.2748 -3.5352 3.6024 -0.250 0.708 2.394
1.10 0.3 -14.8 -26.4 0.34 1.13 -1.91 37.428012 -122.174242 34.6 -3.0938 -2.4569 4.0534 -0.386 0.587 2.486
1.13 -6.6 -11.3 -28.3 0.17 1.33 -1.98 37.428012 -122.174242 34.6 -2.5547 -2.6888 4.9943 -0.504 0.463 2.580
1.16 -6.6 -11.3 -28.3 -0.26 1.59 -1.98 37.428012 -122.174242 34.6 -1.8141 -2.2304 6.0081 -0.616 0.329 2.690
1.19 -13.6 -4.8 -29.3 -0.33 1.98 -1.99 37.428012 -122.174242 34.6 0.6861 -0.6995 6.0852 -0.726 0.133 2.901
1.22 -13.6 -4.8 -29.3 -0.20 1.98 -1.79 37.428012 -122.174242 34.6 1.9428 -0.3930 6.8846 -0.753 0.041 3.062
1.25 -18.9 4.7 -30.1 -0.70 1.97 -1.29 37.428012 -122.174242 34.6 2.5810 0.0323 7.7868 -0.758 -0.054 -3.025
1.28 -18.9 4.7 -30.1 -1.54 1.95 -1.34 37.428012 -122.174242 34.6 2.0445 0.8012 8.0874 -0.723 -0.157 -2.815
1.31 -18.1 9.8 -32.2 -1.95 1.94 -1.79 37.428012 -122.174242 34.6 1.6598 1.8562 6.6411 -0.643 -0.253 -2.616
1.35 -18.1 9.8 -32.2 -1.95 1.93 -2.01 37.428012 -122.174242 34.6 1.7390 1.7492 6.5411 -0.502 -0.335 -2.368
1.38 -9.3 14.6 -35.1 -1.95 1.93 -2.01 37.428012 -122.174242 34.6 3.5353 2.2764 5.4529 -0.384 -0.337 -2.171
1.41 -9.3 14.6 -35.1 -1.95 1.83 -1.65 37.428012 -122.174242 34.6 4.6660 4.2246 3.2663 -0.243 -0.259 -2.019
1.44 -0.4 12.5 -35.3 -1.83 1.19 -1.20 37.428012 -122.174242 34.6 4.1068 5.2507 3.0216 -0.033 -0.111 -1.882
1.47 -0.4 12.5 -35.3 -1.57 0.74 -0.82 37.428012 -122.174242 34.6 3.3677 3.9233 1.8510 0.140 0.029 -1.797
1.50 11.9 3.4 -32.6 -0.79 0.38 -0.39 37.428012 -122.174242 34.6 2.5718 2.7064 0.5885 0.228 0.115 -1.784
1.53 11.9 3.4 -32.6 -0.82 0.24 -0.49 37.428012 -122.174242 34.6 1.2038 2.3094 1.1196 0.288 0.169 -1.775
1.56 17.1 -1.3 -29.3 -0.35 -0.01 -0.47 37.428012 -122.174242 34.6 1.8131 2.1585 -0.3815 0.377 0.220 -1.778
1.60 17.1 -1.3 -29.3 -0.16 -0.26 -0.44 37.428012 -122.174242 34.6 2.2526 0.6916 -0.9889 0.418 0.266 -1.820
1.63 19.9 -5.5 -25.5 -0.14 -0.41 -0.33 37.428012 -122.174242 34.6 2.3579 -0.7374 -0.6487 0.428 0.315 -1.874
1.66 19.9 -5.5 -25.5 -0.05 -0.43 -0.32 37.428012 -122.174242 34.6 0.9757 -0.7374 0.8774 0.396 0.360 -1.879
1.69 20.2 -7.6 -25.0 0.10 -0.27 -0.77 37.428012 -122.174242 34.6 -1.6467 1.1291 0.6473 0.445 0.356 -1.851
