iPhone Sensor Log from Crossbow started at Nov 17, 2011 15:21:24 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
1.41 -31.2 -23.9 -31.2 0.42 -0.33 -0.60 37.425910 -122.151767 7.4 -0.2491 -1.6803 -0.4055 -0.234 0.549 -0.416
1.44 -31.2 -23.9 -31.2 0.24 -0.20 -0.72 37.425910 -122.151767 7.4 -1.2815 -0.0205 -0.6190 -0.244 0.528 -0.441
1.47 -32.0 -24.2 -29.9 0.42 -0.39 -1.06 37.425910 -122.151767 7.4 -1.2142 -1.0027 -0.3450 -0.238 0.481 -0.479
1.50 -32.0 -24.2 -29.9 0.36 -0.34 -0.97 37.425910 -122.151767 7.4 -0.4666 -1.0294 0.1212 -0.267 0.463 -0.485
1.54 -34.0 -22.3 -28.6 0.18 -0.32 -0.97 37.425910 -122.151767 7.4 -1.1459 0.4961 -0.4930 -0.258 0.435 -0.503
1.57 -34.0 -22.3 -28.6 0.30 -0.34 -0.94 37.425910 -122.151767 7.4 -1.0552 0.1004 -0.3362 -0.239 0.410 -0.525
1.60 -34.0 -21.1 -29.4 0.11 -0.24 -0.97 37.425910 -122.151767 7.4 -0.9814 -0.3445 0.2877 -0.241 0.382 -0.532
1.63 -34.0 -21.1 -29.4 0.19 -0.27 -1.11 37.425910 -122.151767 7.4 -1.4698 0.5450 -0.1420 -0.233 0.339 -0.540
1.66 -34.1 -19.3 -29.8 0.18 -0.18 -1.16 37.425910 -122.151767 7.4 -1.2261 0.2021 0.1018 -0.214 0.293 -0.555
1.69 -34.1 -19.3 -29.8 0.08 -0.16 -1.26 37.425910 -122.151767 7.4 -1.2008 0.1524 0.4765 -0.212 0.259 -0.553
1.72 -33.7 -16.2 -31.4 0.09 -0.12 -1.20 37.425910 -122.151767 7.4 -1.0402 0.8651 0.0986 -0.197 0.223 -0.548
1.75 -33.7 -16.2 -31.4 0.11 -0.16 -1.48 37.425910 -122.151767 7.4 -1.4924 1.0643 -0.0299 -0.167 0.189 -0.556
1.79 -32.2 -13.7 -32.8 0.05 -0.13 -1.42 37.425910 -122.151767 7.4 -0.7037 -0.0516 0.7762 -0.157 0.145 -0.545
1.82 -32.2 -13.7 -32.8 0.08 -0.06 -1.38 37.425910 -122.151767 7.4 -1.0715 1.1054 0.2168 -0.140 0.114 -0.532
1.85 -30.9 -10.4 -35.1 0.01 -0.02 -1.55 37.425910 -122.151767 7.4 -1.0045 0.8128 0.5535 -0.112 0.084 -0.528
1.88 -30.9 -10.4 -35.1 -0.19 0.03 -1.44 37.425910 -122.151767 7.4 -0.5454 -0.2041 1.2365 -0.109 0.062 -0.504
1.91 -30.8 -8.0 -36.0 -0.02 0.06 -1.25 37.425910 -122.151767 7.4 -0.0884 -0.2784 0.8856 -0.124 0.048 -0.465
1.94 -30.8 -8.0 -36.0 -0.04 0.01 -1.30 37.425910 -122.151767 7.4 -0.1080 0.6567 0.3992 -0.119 0.045 -0.451
1.97 -30.8 -4.7 -36.9 -0.43 -0.01 -1.43 37.425910 -122.151767 7.4 -0.6615 0.8066 1.1884 -0.086 0.024 -0.425
2.00 -30.8 -4.7 -36.9 -0.29 0.07 -1.23 37.425910 -122.151767 7.4 0.0121 -0.0812 0.7491 -0.079 0.012 -0.389
2.04 -30.7 -2.4 -37.8 -0.25 -0.03 -1.40 37.425910 -122.151767 7.4 -0.2202 0.6079 0.3133 -0.073 0.009 -0.377
2.07 -30.7 -2.4 -37.8 -0.42 -0.06 -1.32 37.425910 -122.151767 7.4 -0.2080 0.6003 0.9530 -0.046 -0.006 -0.356
2.10 -29.1 -0.0 -39.2 -0.43 -0.03 -1.08 37.425910 -122.151767 7.4 0.7321 0.1358 0.9742 -0.039 0.003 -0.329
2.13 -29.1 -0.0 -39.2 -0.34 -0.04 -1.05 37.425910 -122.151767 7.4 0.4335 0.5212 0.6075 -0.030 0.019 -0.308
2.16 -27.9 0.9 -39.8 -0.22 -0.08 -1.05 37.425910 -122.151767 7.4 0.2926 0.2432 0.4080 -0.009 0.031 -0.289
2.19 -27.9 0.9 -39.8 -0.29 -0.10 -1.02 37.425910 -122.151767 7.4 0.5167 -0.3981 0.7267 -0.026 0.045 -0.273
