iPhone Sensor Log from Crossbow started at Dec 4, 2011 10:57:50 PM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
1.06 -8.4 -10.2 -39.3 -0.21 -0.21 -0.56 0 0 0 -0.5154 -0.1779 -1.5709 -0.036 0.351 0.191
1.10 -8.4 -10.2 -39.3 -0.11 -0.18 -0.58 0 0 0 -0.5568 0.0318 -1.6659 -0.022 0.337 0.142
1.13 -7.8 -10.0 -40.1 -0.07 -0.17 -0.46 0 0 0 -0.3899 -0.1222 -1.7019 -0.007 0.325 0.092
1.16 -7.8 -10.0 -40.1 0.10 -0.19 -0.51 0 0 0 -0.5090 -0.0109 -1.8096 0.010 0.310 0.024
1.19 -7.5 -9.6 -40.8 0.12 -0.13 -0.53 0 0 0 -0.8877 -0.1888 -1.6134 0.027 0.282 -0.044
1.22 -7.5 -9.6 -40.8 0.14 -0.12 -0.44 0 0 0 -0.7305 0.0858 -1.3748 0.035 0.259 -0.084
1.25 -7.7 -8.7 -42.1 0.36 -0.13 -0.55 0 0 0 -0.8990 0.0608 -1.2945 0.047 0.236 -0.121
1.28 -7.7 -8.7 -42.1 0.42 -0.05 -0.88 0 0 0 -1.4125 -0.3471 -0.9710 0.051 0.189 -0.164
1.31 -7.9 -7.1 -43.3 0.28 0.05 -0.81 0 0 0 -1.1591 0.1121 -0.6122 0.053 0.152 -0.184
1.35 -7.9 -7.1 -43.3 0.49 0.02 -0.94 0 0 0 -0.9499 0.0562 -0.6355 0.057 0.124 -0.198
1.38 -8.5 -3.5 -43.6 0.44 0.03 -1.00 0 0 0 -1.1292 -0.2040 -0.6210 0.055 0.094 -0.215
1.41 -8.5 -3.5 -43.6 0.26 0.12 -1.10 0 0 0 -0.8322 0.0922 0.0306 0.052 0.066 -0.221
1.44 -8.0 -2.2 -43.7 0.36 0.07 -1.06 0 0 0 -0.4753 0.2498 0.0614 0.078 0.040 -0.213
1.47 -8.0 -2.2 -43.7 0.36 0.06 -1.17 0 0 0 -0.5790 -0.2595 -0.0089 0.072 0.026 -0.212
1.50 -7.4 0.2 -44.6 0.28 0.09 -1.39 0 0 0 -0.6033 0.4867 0.2806 0.075 0.009 -0.206
1.53 -7.4 0.2 -44.6 0.28 0.09 -1.39 0 0 0 -0.4077 0.7173 0.3791 0.096 -0.004 -0.195
1.56 -6.7 1.1 -45.0 0.39 0.02 -1.27 0 0 0 -0.3867 -0.3653 0.3678 0.098 -0.014 -0.182
1.60 -6.7 1.1 -45.0 0.32 0.03 -1.29 0 0 0 -0.2427 0.3307 0.6926 0.097 -0.022 -0.165
1.63 -5.8 1.5 -46.1 0.11 0.09 -1.31 0 0 0 -0.1748 0.3135 0.9173 0.110 -0.023 -0.142
1.66 -5.8 1.5 -46.1 0.12 0.05 -1.35 0 0 0 -0.3081 -0.2785 0.6747 0.108 -0.028 -0.120
1.69 -5.9 2.2 -46.8 0.09 0.05 -1.35 0 0 0 0.1986 0.3935 0.7745 0.110 -0.028 -0.085
1.72 -5.9 2.2 -46.8 0.05 0.03 -1.27 0 0 0 0.2208 0.0893 0.8088 0.118 -0.019 -0.064
1.75 -5.4 2.1 -46.4 -0.00 0.04 -1.21 0 0 0 0.1523 0.1246 0.7257 0.119 -0.012 -0.042
1.78 -5.4 2.1 -46.4 -0.07 0.04 -1.18 0 0 0 0.1936 0.2538 0.7130 0.126 -0.004 -0.024
1.81 -4.2 1.9 -47.0 0.04 -0.02 -1.06 0 0 0 0.0864 -0.2723 0.5456 0.117 0.005 -0.002
1.85 -4.2 1.9 -47.0 0.03 -0.02 -1.06 0 0 0 0.0656 -0.0206 0.5884 0.109 0.009 0.014
1.88 -3.2 1.9 -47.2 -0.09 0.03 -1.01 0 0 0 0.0841 0.0452 0.6192 0.092 0.009 0.031
1.91 -3.2 1.9 -47.2 0.05 -0.03 -1.07 0 0 0 0.0336 0.1163 0.4087 0.083 0.012 0.048
1.94 -2.6 1.3 -46.9 -0.05 0.01 -1.01 0 0 0 0.0899 0.1466 0.4338 0.070 0.017 0.065
1.97 -2.6 1.3 -46.9 -0.14 -0.00 -1.06 0 0 0 -0.0005 0.0959 0.4928 0.057 0.018 0.078
2.00 -2.6 0.8 -46.2 -0.16 -0.01 -0.99 0 0 0 0.1135 0.2672 0.3382 0.039 0.021 0.089
2.03 -2.6 0.8 -46.2 -0.13 -0.04 -1.00 0 0 0 0.0054 0.1279 0.2153 0.029 0.025 0.097
2.06 -1.4 0.5 -45.7 -0.04 -0.04 -0.96 0 0 0 0.0118 0.0433 0.2746 0.020 0.026 0.105
2.10 -1.4 0.5 -45.7 -0.11 -0.01 -1.00 0 0 0 -0.0169 0.0502 0.2097 0.013 0.025 0.113
0.03 -5.8 19.3 -47.0 0.16 -0.02 -1.00 0 0 0 -0.5715 -0.5734 -0.0237 0.020 0.047 0.008
0.06 -6.1 19.7 -46.4 0.15 0.04 -1.17 0 0 0 -0.0181 0.4404 0.0969 0.021 0.040 0.010
0.10 -6.1 19.7 -46.4 0.25 0.06 -1.00 0 0 0 0.0940 0.2754 0.1965 0.042 0.041 0.013
0.13 -5.7 19.8 -45.6 0.20 -0.01 -1.12 0 0 0 -0.4975 -0.0999 0.3468 0.042 0.032 0.022
0.16 -5.7 19.8 -45.6 0.21 -0.03 -1.14 0 0 0 -0.1553 0.2475 0.4136 0.052 0.017 0.040
0.19 -5.0 19.6 -45.3 0.26 -0.02 -1.04 0 0 0 -0.0988 0.1919 0.5220 0.069 0.016 0.053
0.22 -5.0 19.6 -45.3 0.28 -0.01 -0.98 0 0 0 -0.2138 0.0158 0.6622 0.078 0.012 0.070
0.25 -4.5 19.8 -45.2 0.33 -0.03 -0.97 0 0 0 -0.3644 -0.1213 0.7348 0.082 0.006 0.090
0.28 -4.5 19.8 -45.2 0.29 0.02 -1.00 0 0 0 -0.4540 -0.1002 1.0011 0.077 -0.006 0.124
0.31 -3.1 20.3 -44.9 0.21 0.04 -1.08 0 0 0 -0.4320 -0.0272 1.1207 0.075 -0.016 0.155
0.35 -3.1 20.3 -44.9 0.25 0.01 -1.08 0 0 0 -0.3804 -0.0889 1.1560 0.074 -0.025 0.188
0.38 -2.3 21.0 -44.3 0.23 0.07 -1.08 0 0 0 -0.2909 -0.2099 1.2649 0.071 -0.032 0.221
0.41 -2.3 21.0 -44.3 0.12 0.06 -1.10 0 0 0 -0.1675 0.0048 1.4738 0.067 -0.037 0.274
0.44 -3.3 21.0 -42.0 0.01 0.14 -1.20 0 0 0 -0.2757 -0.3912 1.3788 0.065 -0.040 0.328
0.47 -3.3 21.0 -42.0 -0.04 0.18 -1.41 0 0 0 -0.1800 -0.1530 1.3535 0.056 -0.045 0.367
0.50 -5.2 21.0 -41.5 -0.18 0.21 -1.35 0 0 0 0.2958 -0.0458 1.4123 0.057 -0.039 0.406
0.53 -5.2 21.0 -41.5 -0.34 0.24 -1.31 0 0 0 0.4319 -0.0844 1.1979 0.055 -0.022 0.453
0.56 -5.6 21.0 -44.3 -0.32 0.17 -1.25 0 0 0 0.5696 -0.2567 1.0539 0.049 -0.006 0.483
0.60 -5.6 21.0 -44.3 -0.38 0.16 -1.20 0 0 0 0.7776 0.0264 0.9144 0.048 0.016 0.509
0.63 -4.9 20.1 -45.0 -0.37 0.13 -1.17 0 0 0 0.7206 -0.3156 0.6884 0.044 0.038 0.530
0.66 -4.9 20.1 -45.0 -0.33 0.13 -0.96 0 0 0 0.7659 -0.3369 0.4689 0.028 0.066 0.549
0.69 -4.6 16.8 -45.1 -0.47 0.11 -1.14 0 0 0 0.4870 -0.0190 0.3945 0.024 0.090 0.565
0.72 -4.6 16.8 -45.1 -0.42 0.06 -1.08 0 0 0 0.7881 -0.6226 -0.1451 0.013 0.107 0.569
