iPhone Sensor Log from Crossbow started at Dec 16, 2011 19:59:42 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.04 4.1 -21.7 -28.3 0.09 -0.03 -0.99 0 0 0 -0.0370 0.0027 -0.0347 0.075 0.036 2.442
0.07 3.4 -21.8 -26.9 0.09 -0.04 -1.01 0 0 0 -0.1105 0.0596 0.0159 0.077 0.034 2.441
0.10 3.4 -21.8 -26.9 0.08 -0.03 -0.98 0 0 0 0.0860 -0.2629 0.0019 0.073 0.035 2.441
0.13 3.3 -21.9 -25.8 0.08 -0.03 -1.03 0 0 0 -0.1754 -0.1985 -0.0322 0.065 0.032 2.441
0.16 3.3 -21.9 -25.8 0.06 -0.02 -1.02 0 0 0 -0.1875 0.1450 -0.0025 0.066 0.026 2.440
0.19 3.3 -21.8 -25.4 0.07 -0.03 -1.00 0 0 0 -0.0279 -0.0018 0.0900 0.067 0.024 2.442
0.22 3.3 -21.8 -25.4 0.07 -0.02 -0.99 0 0 0 0.0411 -0.1091 0.0202 0.063 0.026 2.443
0.25 2.5 -22.7 -26.1 0.05 -0.05 -0.97 0 0 0 0.0515 -0.0433 0.0535 0.061 0.027 2.443
0.29 2.5 -22.7 -26.1 0.06 -0.04 -0.95 0 0 0 0.0380 0.0383 0.0505 0.060 0.031 2.446
0.32 2.2 -22.5 -25.8 0.06 -0.05 -0.95 0 0 0 0.0662 -0.0844 0.0148 0.059 0.033 2.447
0.35 2.2 -22.5 -25.8 0.05 -0.04 -0.92 0 0 0 0.1375 -0.2136 -0.0258 0.054 0.036 2.446
0.38 2.0 -22.7 -24.4 0.06 -0.04 -0.94 0 0 0 0.3676 -0.1671 -0.0695 0.048 0.045 2.443
0.41 2.0 -22.7 -24.4 0.02 -0.06 -0.91 0 0 0 0.8448 -0.1331 -0.1319 0.043 0.061 2.439
0.44 1.6 -24.2 -23.6 0.03 -0.09 -0.93 0 0 0 0.6216 -0.2033 -0.0098 0.036 0.091 2.435
0.47 1.6 -24.2 -23.6 0.04 -0.10 -0.95 0 0 0 -0.0991 -0.1097 -0.0020 0.032 0.097 2.435
0.50 1.3 -24.5 -23.8 0.03 -0.10 -0.93 0 0 0 -0.0634 -0.0161 -0.0186 0.029 0.094 2.434
0.54 1.3 -24.5 -23.8 0.02 -0.07 -0.93 0 0 0 -0.1349 0.2328 -0.0453 0.036 0.091 2.432
0.57 1.6 -24.8 -23.8 0.00 -0.08 -0.92 0 0 0 0.0499 -0.2847 0.0863 0.033 0.090 2.433
0.60 1.6 -24.8 -23.8 0.05 -0.15 -0.97 0 0 0 0.0980 -0.2675 0.0007 0.023 0.094 2.434
0.63 2.0 -24.0 -24.0 -0.02 -0.04 -0.92 0 0 0 -0.1993 0.2543 -0.1594 0.028 0.087 2.427
0.66 2.0 -24.0 -24.0 0.05 -0.13 -1.01 0 0 0 0.0317 -0.2059 0.0475 0.028 0.085 2.427
0.69 1.6 -23.6 -23.5 -0.01 -0.05 -0.95 0 0 0 0.0541 -0.1649 -0.2074 0.021 0.087 2.425
0.72 1.6 -23.6 -23.5 0.00 -0.12 -0.97 0 0 0 -0.2183 0.1656 -0.1286 0.025 0.082 2.414
0.75 2.5 -24.1 -23.5 -0.01 -0.12 -0.99 0 0 0 0.1442 -0.1993 0.1116 0.021 0.084 2.416
0.79 2.5 -24.1 -23.5 0.04 -0.03 -0.95 0 0 0 -0.0680 0.3857 -0.4825 0.024 0.085 2.405
