iPhone Sensor Log from Crossbow started at Dec 16, 2011 19:57:42 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.04 -0.9 -20.9 -28.1 0.00 -0.05 -0.99 0 0 0 0.0234 0.1545 0.0037 0.012 0.054 2.923
0.08 -0.9 -20.9 -28.1 0.01 -0.06 -0.99 0 0 0 -0.0287 -0.0190 -0.0031 0.013 0.054 2.923
0.10 -0.9 -22.0 -26.1 0.03 -0.05 -1.01 0 0 0 -0.0308 -0.0708 -0.0415 0.012 0.053 2.922
0.13 -0.9 -22.0 -26.1 0.02 -0.04 -1.02 0 0 0 -0.0168 0.0611 -0.0576 0.012 0.051 2.920
0.16 -0.8 -22.1 -24.1 -0.01 -0.07 -1.01 0 0 0 -0.0330 0.1460 0.0424 0.015 0.051 2.920
0.19 -0.8 -22.1 -24.1 0.03 -0.05 -1.02 0 0 0 -0.0132 0.0139 0.0033 0.016 0.050 2.921
0.22 -0.9 -22.9 -24.1 0.03 -0.05 -1.00 0 0 0 0.0373 -0.0138 -0.0214 0.016 0.050 2.920
0.25 -0.9 -22.9 -24.1 0.02 -0.04 -0.99 0 0 0 0.0535 0.1162 -0.0015 0.018 0.052 2.920
0.29 -0.5 -22.9 -25.0 0.01 -0.05 -1.01 0 0 0 -0.0205 0.0164 0.0273 0.021 0.052 2.919
0.32 -0.5 -22.9 -25.0 0.02 -0.05 -0.98 0 0 0 -0.0179 -0.1161 0.0936 0.018 0.051 2.921
0.35 -0.4 -22.3 -25.7 -0.00 -0.06 -0.95 0 0 0 0.0188 0.0128 0.0919 0.016 0.051 2.923
0.38 -0.4 -22.3 -25.7 -0.00 -0.06 -0.95 0 0 0 0.0261 0.0324 0.0579 0.017 0.052 2.925
0.41 -1.2 -21.9 -25.8 0.00 -0.05 -0.92 0 0 0 0.0598 -0.0533 0.0920 0.016 0.054 2.927
0.44 -1.2 -21.9 -25.8 0.02 -0.05 -0.88 0 0 0 -0.0853 -0.0327 0.1016 0.014 0.053 2.929
0.47 -1.0 -21.2 -25.8 0.01 -0.05 -0.87 0 0 0 -0.1336 0.0405 0.1146 0.013 0.048 2.933
0.51 -1.0 -21.2 -25.8 -0.01 -0.06 -0.86 0 0 0 -0.1670 0.0223 0.0840 0.014 0.044 2.936
0.54 -0.9 -21.4 -26.1 0.02 -0.05 -0.84 0 0 0 -0.2015 0.0052 0.0437 0.013 0.039 2.937
0.57 -0.9 -21.4 -26.1 0.03 -0.06 -0.84 0 0 0 -0.2716 0.0857 0.1165 0.014 0.031 2.939
0.60 -1.1 -21.4 -25.8 0.02 -0.05 -0.84 0 0 0 -0.2264 0.1461 0.1545 0.017 0.025 2.943
0.63 -1.1 -21.4 -25.8 0.00 -0.04 -0.82 0 0 0 -0.3503 -0.1384 0.2247 0.016 0.014 2.953
0.66 -0.7 -21.1 -25.9 0.02 -0.03 -0.88 0 0 0 -0.2590 -0.1517 0.1899 0.011 0.005 2.958
0.69 -0.7 -21.1 -25.9 0.01 -0.03 -0.87 0 0 0 -0.1665 0.0787 0.2348 0.011 0.000 2.963
0.72 -0.8 -20.6 -25.6 -0.04 -0.03 -0.87 0 0 0 -0.1446 -0.0965 0.3308 0.010 -0.004 2.974
0.76 -0.8 -20.6 -25.6 -0.04 -0.02 -0.90 0 0 0 -0.1335 -0.1021 0.2219 0.005 -0.006 2.981
0.79 -2.1 -19.0 -25.8 -0.04 -0.04 -0.91 0 0 0 -0.0887 -0.2173 0.2099 -0.002 -0.006 2.985
0.82 -2.1 -19.0 -25.8 -0.04 -0.02 -0.91 0 0 0 0.1675 -0.2226 -0.0233 -0.018 0.001 2.994
0.85 -2.7 -18.4 -26.6 -0.06 0.04 -0.91 0 0 0 0.1328 0.0080 -0.2893 -0.022 0.003 2.988
0.88 -2.7 -18.4 -26.6 -0.04 -0.02 -1.00 0 0 0 -0.1524 -0.5154 -0.0996 -0.029 0.003 2.981
0.91 -3.1 -19.3 -26.3 -0.11 0.01 -1.09 0 0 0 0.1658 -0.4880 -0.2881 -0.054 0.003 2.977
0.94 -3.1 -19.3 -26.3 -0.05 0.05 -1.11 0 0 0 0.3019 0.0941 -0.7505 -0.058 0.011 2.962
0.97 -3.2 -20.0 -26.3 -0.04 0.02 -1.13 0 0 0 -0.1982 0.0523 -0.6292 -0.054 0.013 2.941
1.01 -3.2 -20.0 -26.3 -0.07 0.01 -1.22 0 0 0 -0.0967 -0.4932 -0.2811 -0.072 0.011 2.929
1.04 -3.1 -19.6 -26.5 -0.05 0.07 -1.29 0 0 0 -0.1939 -0.0627 -0.6938 -0.079 0.006 2.914
1.07 -3.1 -19.6 -26.5 -0.02 0.02 -1.24 0 0 0 -0.0603 0.0815 -0.3166 -0.076 0.002 2.894
1.10 -2.6 -19.1 -26.9 0.07 0.01 -1.18 0 0 0 0.1099 0.1827 -0.4260 -0.073 0.005 2.885
1.13 -2.6 -19.1 -26.9 0.09 0.06 -1.21 0 0 0 -0.0658 0.0440 -0.4319 -0.070 0.005 2.872
1.16 -2.3 -18.9 -28.1 0.12 -0.03 -1.18 0 0 0 -0.1068 0.1714 -0.1399 -0.068 0.003 2.861
1.19 -2.3 -18.9 -28.1 0.19 -0.04 -1.16 0 0 0 -0.0140 -0.0428 -0.0613 -0.067 0.001 2.859
1.22 -2.4 -18.9 -28.4 0.19 0.04 -1.10 0 0 0 0.0535 -0.1056 -0.1069 -0.070 0.002 2.855
1.25 -2.4 -18.9 -28.4 0.22 -0.04 -1.15 0 0 0 -0.1110 -0.2350 0.1038 -0.079 0.002 2.856
1.29 -2.0 -19.0 -28.0 0.24 -0.05 -1.12 0 0 0 -0.0347 0.1196 0.2107 -0.080 -0.001 2.860
1.32 -2.0 -19.0 -28.0 0.16 -0.04 -1.05 0 0 0 0.1300 0.0078 0.5204 -0.064 0.003 2.877
1.35 -2.7 -18.7 -28.0 0.16 -0.04 -1.05 0 0 0 0.0890 0.1039 0.4921 -0.052 0.006 2.890
1.38 -2.7 -18.7 -28.0 0.16 -0.02 -0.98 0 0 0 0.0852 0.1357 0.5165 -0.034 0.009 2.903
1.41 -2.9 -19.2 -28.1 0.13 -0.02 -0.99 0 0 0 0.1805 0.1883 0.2935 -0.019 0.014 2.918
1.44 -2.9 -19.2 -28.1 0.03 -0.00 -0.91 0 0 0 0.3170 0.3693 0.1429 -0.012 0.021 2.923
1.47 -2.5 -19.5 -27.9 0.14 -0.03 -0.87 0 0 0 0.2048 0.3137 -0.2747 0.002 0.028 2.920
1.51 -2.5 -19.5 -27.9 0.18 0.04 -0.93 0 0 0 0.0941 -0.1567 -0.0137 0.017 0.023 2.908
1.54 -2.1 -18.9 -27.9 -0.02 0.01 -0.98 0 0 0 0.0903 0.0355 0.1822 0.011 0.023 2.912
1.57 -2.1 -18.9 -27.9 0.04 0.00 -0.99 0 0 0 0.0983 0.1029 -0.1008 0.016 0.024 2.912
1.60 -2.4 -19.4 -28.2 0.01 0.03 -1.03 0 0 0 0.0325 -0.1294 0.1069 0.013 0.020 2.911
1.63 -2.4 -19.4 -28.2 -0.07 0.00 -1.03 0 0 0 0.0052 0.1859 0.3684 0.007 0.019 2.918
