iPhone Sensor Log from Crossbow started at Dec 16, 2011 19:51:51 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.04 6.3 -19.3 -28.0 0.06 0.04 -1.02 0 0 0 -0.1046 -0.0729 -0.1657 0.056 -0.008 -1.450
0.07 6.3 -19.3 -28.0 0.04 0.01 -1.00 0 0 0 -0.0123 0.1267 -0.0494 0.056 -0.009 -1.456
0.10 5.5 -20.2 -24.6 0.10 -0.03 -0.98 0 0 0 -0.0288 0.0170 -0.0146 0.058 -0.010 -1.456
0.13 5.5 -20.2 -24.6 0.05 0.04 -1.02 0 0 0 -0.0374 -0.1476 -0.1200 0.057 -0.009 -1.459
0.16 5.4 -20.2 -23.9 0.05 0.04 -1.02 0 0 0 -0.1822 -0.1359 -0.1928 0.052 -0.014 -1.464
0.20 5.4 -20.2 -23.9 0.03 0.02 -1.02 0 0 0 0.0412 -0.1963 0.0628 0.045 -0.017 -1.466
0.23 5.7 -20.3 -24.6 0.05 0.02 -1.00 0 0 0 0.0231 -0.0794 -0.0223 0.041 -0.016 -1.465
0.26 5.7 -20.3 -24.6 0.07 0.02 -1.02 0 0 0 0.0308 0.0811 0.0149 0.043 -0.017 -1.467
0.29 5.5 -20.5 -24.9 0.04 0.01 -0.98 0 0 0 -0.0540 -0.0107 0.0400 0.045 -0.017 -1.467
0.32 5.5 -20.5 -24.9 0.07 0.00 -1.00 0 0 0 -0.0065 -0.1707 -0.0106 0.042 -0.018 -1.467
0.35 3.9 -18.9 -25.2 0.06 0.04 -1.03 0 0 0 -0.0898 0.0091 -0.0454 0.040 -0.021 -1.469
0.38 3.9 -18.9 -25.2 0.08 0.03 -1.02 0 0 0 -0.0372 0.0044 0.0192 0.042 -0.023 -1.469
0.41 2.5 -18.4 -25.4 0.13 0.03 -1.00 0 0 0 -0.0160 -0.1908 -0.0269 0.042 -0.024 -1.470
0.44 2.5 -18.4 -25.4 0.12 0.05 -1.02 0 0 0 -0.1971 -0.0919 -0.0955 0.044 -0.029 -1.472
0.47 2.5 -19.1 -25.6 0.23 0.06 -1.09 0 0 0 -0.1163 -0.2729 -0.0679 0.042 -0.034 -1.474
0.51 2.5 -19.1 -25.6 0.31 0.09 -1.07 0 0 0 0.0225 -0.2266 -0.0251 0.034 -0.037 -1.477
0.54 2.7 -19.3 -25.6 0.25 0.10 -0.99 0 0 0 0.0927 -0.0521 0.2907 0.043 -0.037 -1.474
