iPhone Sensor Log from Crossbow started at Dec 16, 2011 19:51:37 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.04 0.8 -23.0 -26.2 0.02 -0.02 -0.98 0 0 0 0.0614 -0.1225 0.0600 0.032 0.049 -1.312
0.07 0.5 -23.0 -24.2 -0.04 -0.11 -1.00 0 0 0 -0.0821 0.0055 0.1750 0.029 0.050 -1.306
0.10 0.5 -23.0 -24.2 0.04 -0.03 -0.97 0 0 0 -0.0959 0.1700 -0.1747 0.029 0.049 -1.306
0.13 0.7 -22.0 -23.8 0.06 0.00 -0.99 0 0 0 -0.1247 -0.0601 -0.2713 0.036 0.043 -1.316
0.16 0.7 -22.0 -23.8 -0.04 -0.03 -1.01 0 0 0 -0.1931 -0.2421 -0.0491 0.029 0.037 -1.321
0.19 0.8 -21.6 -24.1 -0.03 -0.07 -1.03 0 0 0 -0.0715 -0.0170 0.2557 0.023 0.035 -1.317
0.23 0.8 -21.6 -24.1 -0.03 -0.03 -1.02 0 0 0 0.0337 -0.1075 0.0753 0.017 0.034 -1.311
0.25 1.1 -22.1 -23.6 -0.03 -0.03 -1.02 0 0 0 0.0010 0.0180 0.0487 0.015 0.035 -1.310
0.28 1.1 -22.1 -23.6 0.02 -0.05 -1.01 0 0 0 -0.0500 -0.0224 -0.0820 0.017 0.035 -1.311
0.32 0.7 -21.6 -24.3 0.12 -0.02 -1.00 0 0 0 -0.0943 -0.0346 -0.0815 0.023 0.030 -1.317
0.35 0.7 -21.6 -24.3 0.16 -0.01 -0.98 0 0 0 -0.0417 -0.2197 0.1535 0.029 0.029 -1.315
0.38 0.3 -21.7 -24.3 0.21 -0.05 -1.00 0 0 0 -0.1330 -0.1704 0.1659 0.029 0.027 -1.311
0.41 0.3 -21.7 -24.3 0.30 -0.05 -0.99 0 0 0 -0.0501 -0.0949 0.0226 0.041 0.024 -1.309
