iPhone Sensor Log from Crossbow started at Dec 14, 2011 2:07:26 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -16.9 -11.6 -26.7 -0.15 -0.10 -1.36 37.428036 -122.174192 36.6 -1.0683 -0.1969 0.3346 -0.076 0.034 -0.147
0.06 -17.6 -12.2 -27.1 -0.21 -0.02 -1.65 37.428036 -122.174192 36.6 0.6303 0.1559 -0.1261 -0.075 0.029 -0.144
0.10 -17.6 -12.2 -27.1 0.11 -0.01 -1.16 37.428036 -122.174192 36.6 2.0933 1.0836 -0.4609 -0.058 0.074 -0.152
0.13 -16.6 -12.5 -27.1 0.12 -0.21 -1.55 37.428036 -122.174192 36.6 2.3731 3.9256 -0.0890 0.044 0.162 -0.162
0.16 -16.6 -12.5 -27.1 0.29 -0.30 -1.96 37.428036 -122.174192 36.6 3.2685 5.8383 0.0806 0.187 0.238 -0.168
0.19 -12.1 -14.6 -26.9 0.47 -0.29 -1.96 37.428036 -122.174192 36.6 5.3509 6.7007 0.7626 0.371 0.361 -0.194
0.22 -12.1 -14.6 -26.9 0.23 -0.14 -1.49 37.428036 -122.174192 36.6 6.7118 7.4067 1.6881 0.590 0.531 -0.245
0.25 0.4 -21.6 -20.6 0.29 -0.30 -1.15 37.428036 -122.174192 36.6 6.8655 7.9796 1.7209 1.113 0.807 -0.489
0.28 0.4 -21.6 -20.6 0.28 -0.30 -0.36 37.428036 -122.174192 36.6 6.7858 6.7640 1.9370 1.512 0.906 -0.748
0.31 6.2 -27.1 -11.9 0.22 -0.31 0.20 37.428036 -122.174192 36.6 5.9013 5.9916 1.9609 1.927 0.934 -1.053
0.35 6.2 -27.1 -11.9 0.37 -0.28 0.34 37.428036 -122.174192 36.6 4.4349 4.1861 1.8762 2.269 0.909 -1.301
0.38 6.7 -30.4 2.5 -0.08 -0.16 0.73 37.428036 -122.174192 36.6 3.6471 2.1935 2.2450 2.556 0.852 -1.542
0.41 6.7 -30.4 2.5 0.06 -0.22 0.94 37.428036 -122.174192 36.6 2.8250 2.4391 1.4716 2.717 0.795 -1.671
0.44 3.7 -29.6 9.6 -0.11 -0.23 0.92 37.428036 -122.174192 36.6 1.8231 1.8652 1.5265 2.837 0.752 -1.755
0.47 3.7 -29.6 9.6 -0.17 -0.29 0.92 37.428036 -122.174192 36.6 1.1587 0.8793 1.4151 2.916 0.724 -1.824
0.50 -1.1 -28.6 12.6 -0.25 -0.29 0.94 37.428036 -122.174192 36.6 0.8702 1.0511 0.8087 3.029 0.673 -1.911
0.53 -1.1 -28.6 12.6 -0.32 -0.32 0.87 37.428036 -122.174192 36.6 0.4058 0.1119 0.6433 3.064 0.657 -1.939
0.56 -2.9 -28.0 13.2 -0.35 -0.37 0.84 37.428036 -122.174192 36.6 0.0831 -0.7009 0.4618 3.069 0.650 -1.964
