iPhone Sensor Log from Crossbow started at Dec 16, 2011 19:33:09 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.05 22.9 -4.5 -22.1 0.07 0.01 -1.09 0 0 0 -0.0812 -0.3914 0.3107 0.096 -0.022 1.114
0.08 21.8 -4.7 -22.9 0.01 0.03 -0.99 0 0 0 0.0450 -0.4648 -0.0487 0.077 -0.017 1.119
0.11 21.8 -4.7 -22.9 0.10 0.01 -1.01 0 0 0 -0.4377 0.3239 -0.2858 0.077 -0.024 1.114
0.14 21.2 -4.7 -22.6 0.10 -0.02 -0.97 0 0 0 -1.4570 -0.2269 -0.2713 0.084 -0.061 1.104
0.17 21.2 -4.7 -22.6 0.02 0.13 -1.01 0 0 0 -1.5373 -0.1445 0.0039 0.074 -0.101 1.104
0.21 21.4 -2.7 -22.9 0.17 0.09 -1.40 0 0 0 -1.7983 1.3368 -0.2372 0.098 -0.148 1.107
0.24 21.4 -2.7 -22.9 0.45 -0.04 -1.58 0 0 0 -1.6706 1.3511 0.2435 0.167 -0.219 1.110
0.27 22.6 1.3 -22.2 0.59 0.49 -2.00 0 0 0 -1.7822 -1.4522 -0.2792 0.169 -0.267 1.117
0.30 22.6 1.3 -22.2 1.00 0.36 -1.99 0 0 0 -1.6908 -2.6218 0.5019 0.101 -0.310 1.128
0.33 22.5 2.8 -22.4 0.84 0.87 -2.00 0 0 0 0.5756 -0.7437 1.3796 0.066 -0.333 1.167
0.36 22.5 2.8 -22.4 0.36 1.46 -2.01 0 0 0 2.3809 -1.3426 1.9492 0.048 -0.282 1.214
0.39 20.5 -0.4 -23.7 -0.28 1.27 -0.32 0 0 0 5.0395 -0.5724 1.8186 0.035 -0.184 1.260
0.42 20.5 -0.4 -23.7 -0.43 0.77 0.97 0 0 0 3.9278 -0.5008 1.5839 0.013 0.049 1.335
0.46 17.3 -6.1 -23.6 -0.11 0.63 0.88 0 0 0 2.4621 -0.6067 0.9267 -0.001 0.124 1.365
0.49 17.3 -6.1 -23.6 -0.46 0.57 0.87 0 0 0 2.0288 -1.1911 1.0153 -0.050 0.208 1.399
0.52 15.7 -12.1 -23.2 -1.10 0.18 0.60 0 0 0 0.8955 0.1040 0.8844 -0.067 0.241 1.426
0.55 15.7 -12.1 -23.2 -1.88 -0.07 -0.07 0 0 0 0.0474 -0.3090 0.8270 -0.077 0.249 1.452
0.58 15.2 -15.5 -22.7 -2.05 0.01 -0.45 0 0 0 0.0142 -2.0448 -0.9554 -0.130 0.255 1.444
0.61 15.2 -15.5 -22.7 -1.99 0.06 -0.40 0 0 0 -0.0661 -2.1648 -0.8375 -0.184 0.260 1.418
0.64 14.1 -15.5 -23.2 -1.46 0.07 -0.90 0 0 0 -1.0754 -0.4692 -2.5371 -0.196 0.245 1.364
0.68 14.1 -15.5 -23.2 -0.14 0.50 -1.05 0 0 0 -0.6839 -2.0547 -3.5338 -0.220 0.246 1.247
0.71 13.2 -12.0 -25.0 0.81 0.75 -1.31 0 0 0 -0.5486 -0.3737 -3.1639 -0.235 0.250 1.155
