iPhone Sensor Log from Crossbow started at Dec 16, 2011 19:33:43 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.04 -0.6 -20.8 -31.0 0.23 -0.04 -0.96 0 0 0 -0.0704 -0.1694 0.0722 0.196 0.051 2.391
0.07 -1.2 -20.8 -28.1 0.21 -0.06 -1.02 0 0 0 0.0007 -0.4076 0.2293 0.188 0.050 2.395
0.10 -1.2 -20.8 -28.1 0.16 -0.06 -0.95 0 0 0 0.0563 -0.0537 0.0537 0.180 0.053 2.399
0.13 -1.2 -20.7 -27.7 0.24 -0.01 -0.91 0 0 0 -0.2544 0.1437 -0.4190 0.185 0.051 2.394
0.16 -1.2 -20.7 -27.7 0.12 0.08 -1.07 0 0 0 -1.0135 -2.4720 -0.3578 0.131 0.009 2.378
0.19 -1.3 -20.5 -28.5 -0.08 0.07 -1.06 0 0 0 -0.5744 -1.8225 -0.1269 0.069 -0.012 2.374
0.22 -1.3 -20.5 -28.5 0.02 0.05 -1.01 0 0 0 -0.9006 0.0411 -0.2528 0.047 -0.036 2.370
0.25 -3.5 -18.1 -29.3 0.03 0.08 -0.93 0 0 0 -0.6513 -0.0544 -0.1522 0.049 -0.058 2.364
0.29 -3.5 -18.1 -29.3 -0.02 0.11 -1.16 0 0 0 -0.8347 -0.6089 0.0738 0.038 -0.076 2.365
0.32 -3.8 -16.6 -30.0 0.05 0.21 -1.67 0 0 0 -1.5643 0.3248 0.0248 0.020 -0.130 2.364
0.35 -3.8 -16.6 -30.0 0.49 0.96 -2.00 0 0 0 -2.1688 0.1356 0.0000 0.030 -0.182 2.366
0.38 -4.3 -14.0 -31.3 1.00 1.08 -2.00 0 0 0 -3.5590 0.2583 -0.5427 0.028 -0.258 2.360
0.41 -4.3 -14.0 -31.3 -0.08 0.88 -1.62 0 0 0 0.4078 0.1174 2.2046 0.060 -0.353 2.376
0.44 -4.1 -12.0 -32.7 -0.12 0.66 -1.56 0 0 0 1.9323 2.1710 2.8968 0.116 -0.282 2.460
0.47 -4.1 -12.0 -32.7 -0.12 0.66 -1.56 0 0 0 1.7780 -0.3703 1.2773 0.161 -0.254 2.506
0.51 -3.5 -13.1 -32.6 -0.03 0.35 0.08 0 0 0 5.8169 -0.6779 1.7259 0.149 -0.002 2.525
0.54 -3.5 -13.1 -32.6 -0.08 0.04 0.68 0 0 0 4.3596 -0.6079 1.2469 0.131 0.134 2.543
0.57 -5.2 -18.8 -28.6 -0.04 0.04 0.37 0 0 0 2.1222 -0.6028 1.1147 0.112 0.218 2.562
0.60 -5.2 -18.8 -28.6 -0.26 0.04 0.16 0 0 0 1.1347 0.0040 1.4775 0.088 0.282 2.603
0.63 -9.3 -25.6 -21.9 -0.69 -0.10 -0.36 0 0 0 0.0456 0.4299 1.2636 0.078 0.296 2.641
0.66 -9.3 -25.6 -21.9 -1.17 -0.23 -0.89 0 0 0 -0.0223 -0.3254 0.5438 0.061 0.294 2.682
0.69 -11.2 -26.3 -21.3 -1.57 -0.21 -1.26 0 0 0 -0.1381 -0.6341 -0.3150 0.047 0.293 2.682
0.72 -11.2 -26.3 -21.3 -1.73 -0.21 -1.59 0 0 0 -0.0751 -0.9321 -0.8824 0.030 0.291 2.665
0.75 -11.7 -26.5 -21.1 -1.41 -0.08 -1.62 0 0 0 0.6828 -0.9348 -2.3715 0.014 0.298 2.603
0.79 -11.7 -26.5 -21.1 -0.36 0.12 -1.34 0 0 0 0.7582 -0.9368 -3.0173 0.012 0.317 2.525
0.82 -10.6 -27.6 -20.3 0.70 0.18 -0.81 0 0 0 1.0975 -1.3668 -2.9504 0.008 0.341 2.440
0.85 -10.6 -27.6 -20.3 1.01 0.00 -0.55 0 0 0 0.6157 -1.4752 -2.8600 -0.003 0.369 2.326
0.88 -5.7 -29.1 -19.0 1.17 0.12 -0.36 0 0 0 0.6460 -0.8389 -2.9064 0.004 0.390 2.216
0.91 -5.7 -29.1 -19.0 1.10 0.05 -0.26 0 0 0 0.6891 -1.5113 -1.8630 -0.002 0.409 2.146
0.94 -1.7 -29.6 -16.9 0.54 0.01 -0.22 0 0 0 -0.0088 -0.0206 -0.5421 -0.010 0.424 2.108
0.97 -1.7 -29.6 -16.9 0.28 -0.09 -0.09 0 0 0 0.4805 -0.8933 -0.4169 -0.015 0.427 2.095
1.01 -0.2 -30.2 -15.9 0.34 0.02 0.42 0 0 0 0.6892 -0.5067 0.1727 -0.072 0.466 2.085
1.04 -0.2 -30.2 -15.9 -0.02 -0.01 0.49 0 0 0 -1.1057 1.3902 -0.2277 -0.051 0.457 2.085
1.07 -0.4 -30.9 -15.2 0.19 -0.06 0.24 0 0 0 -0.6426 -1.3856 -0.2692 -0.043 0.428 2.070
1.10 -0.4 -30.9 -15.2 -0.67 0.15 0.24 0 0 0 0.6685 -1.3879 0.4903 -0.102 0.434 2.078
1.13 -0.8 -30.2 -16.0 -0.24 0.30 -1.38 0 0 0 -3.6137 3.4966 -2.2591 -0.017 0.373 2.053
1.16 -0.8 -30.2 -16.0 -0.08 0.56 -2.00 0 0 0 -2.0918 -1.7835 -1.8998 0.014 0.293 1.988
1.19 0.7 -27.3 -20.0 0.51 0.38 -2.00 0 0 0 -4.1631 -1.2998 -2.3617 -0.052 0.152 1.907
1.22 0.7 -27.3 -20.0 1.18 0.21 -1.99 0 0 0 -2.4415 -1.4809 -1.9662 -0.087 0.070 1.838
1.25 2.3 -23.1 -24.5 1.28 0.07 -1.99 0 0 0 -1.3034 0.9398 -1.5059 -0.087 0.031 1.788
1.29 2.3 -23.1 -24.5 1.05 0.06 -1.69 0 0 0 -0.0180 0.4064 0.6092 -0.056 0.012 1.776
1.32 3.5 -18.0 -28.9 1.63 0.58 -1.59 0 0 0 0.0667 0.0977 1.0636 -0.054 0.012 1.803
1.35 3.5 -18.0 -28.9 1.65 0.79 -1.17 0 0 0 0.2299 1.9967 1.1280 -0.022 0.014 1.828
1.38 4.0 -18.5 -28.3 1.06 0.83 -1.19 0 0 0 0.4071 1.2462 2.6290 0.045 0.041 1.920
1.41 4.0 -18.5 -28.3 -0.35 0.46 -1.88 0 0 0 -0.5698 -0.1837 2.3920 0.055 0.044 1.985
1.44 3.2 -19.7 -27.1 -1.68 -0.14 -1.88 0 0 0 -1.4641 -0.5544 3.8334 0.044 0.016 2.066
1.47 3.2 -19.7 -27.1 -2.04 -0.26 -0.83 0 0 0 1.8374 0.8643 4.3151 0.048 0.035 2.226
