iPhone Sensor Log from Crossbow started at Nov 18, 2011 1:58:27 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.04 -19.8 2.9 -43.1 0.07 -0.07 -1.00 37.425048 -122.170808 44.8 -0.0699 -0.0181 0.1360 0.083 0.074 -2.165
0.07 -19.8 2.9 -43.1 0.05 -0.09 -1.02 37.425048 -122.170808 44.8 0.0514 0.0842 -0.0511 0.080 0.076 -2.162
0.10 -19.6 3.1 -41.7 0.07 -0.11 -0.94 37.425048 -122.170808 44.8 -0.2492 -0.1915 -0.1854 0.079 0.074 -2.166
0.13 -19.6 3.1 -41.7 0.04 -0.05 -1.03 37.425048 -122.170808 44.8 -0.6334 -0.6561 -0.2061 0.065 0.060 -2.171
0.16 -19.3 4.1 -41.7 0.01 0.01 -1.11 37.425048 -122.170808 44.8 -0.6231 -0.1645 -0.2205 0.050 0.035 -2.178
0.19 -19.3 4.1 -41.7 0.07 -0.04 -1.03 37.425048 -122.170808 44.8 -0.2077 0.0438 0.0561 0.050 0.025 -2.179
0.22 -19.6 4.6 -41.8 0.04 -0.03 -1.04 37.425048 -122.170808 44.8 -0.1829 -0.1409 0.0133 0.048 0.021 -2.177
0.26 -19.6 4.6 -41.8 -0.01 -0.03 -1.03 37.425048 -122.170808 44.8 -0.1050 -0.0810 -0.0422 0.041 0.017 -2.179
0.29 -20.7 6.0 -42.6 0.03 -0.03 -1.04 37.425048 -122.170808 44.8 -0.0853 -0.1334 -0.1621 0.037 0.015 -2.182
0.32 -20.7 6.0 -42.6 0.06 0.00 -1.00 37.425048 -122.170808 44.8 -0.1034 -0.1216 -0.1299 0.033 0.012 -2.187
0.35 -21.1 6.3 -41.7 -0.01 -0.04 -1.02 37.425048 -122.170808 44.8 -0.2065 0.0865 0.0072 0.032 0.009 -2.188
0.38 -21.1 6.3 -41.7 0.00 -0.02 -1.08 37.425048 -122.170808 44.8 -0.2907 -0.0833 -0.0630 0.030 0.001 -2.188
0.41 -20.6 5.9 -40.6 0.06 0.01 -1.11 37.425048 -122.170808 44.8 -0.0948 -0.1464 -0.1677 0.025 -0.002 -2.193
0.44 -20.6 5.9 -40.6 -0.00 -0.04 -1.24 37.425048 -122.170808 44.8 -0.4011 0.3281 0.2194 0.035 -0.012 -2.188
0.47 -20.5 6.7 -40.8 -0.13 -0.07 -1.36 37.425048 -122.170808 44.8 -0.4224 -0.2831 0.4365 0.034 -0.023 -2.179
0.51 -20.5 6.7 -40.8 -0.21 -0.12 -1.66 37.425048 -122.170808 44.8 -0.7026 -0.3946 0.4591 0.025 -0.038 -2.165
0.54 -21.0 9.0 -40.0 -0.31 -0.16 -1.81 37.425048 -122.170808 44.8 -0.3536 -0.2132 0.5701 0.012 -0.059 -2.150
0.57 -21.0 9.0 -40.0 -0.43 -0.19 -1.93 37.425048 -122.170808 44.8 -0.2112 -0.1023 0.5276 0.012 -0.066 -2.136
0.60 -20.6 9.3 -39.8 -0.47 -0.04 -1.70 37.425048 -122.170808 44.8 0.1653 0.0495 0.3265 -0.000 -0.058 -2.119
0.63 -20.6 9.3 -39.8 -0.40 0.08 -1.49 37.425048 -122.170808 44.8 0.1112 0.2864 0.1347 0.007 -0.057 -2.113
0.66 -21.4 8.8 -37.9 -0.29 0.19 -1.35 37.425048 -122.170808 44.8 0.4936 0.0662 -0.0032 0.012 -0.047 -2.112
0.69 -21.4 8.8 -37.9 -0.00 0.25 -1.08 37.425048 -122.170808 44.8 0.6802 0.1550 -0.3340 0.014 -0.028 -2.118
0.72 -21.8 8.5 -39.1 0.02 0.24 -1.01 37.425048 -122.170808 46.5 0.6431 -0.0120 -0.1721 0.014 -0.010 -2.125
0.76 -21.8 8.5 -39.1 0.16 0.26 -0.66 37.425048 -122.170808 46.5 1.1905 0.1317 -0.5509 0.017 0.013 -2.136
0.79 -21.7 6.6 -40.8 0.44 0.22 -0.42 37.425048 -122.170808 46.5 1.2452 0.0297 -1.0088 0.017 0.073 -2.173
0.82 -21.7 6.6 -40.8 0.36 0.22 -0.31 37.425048 -122.170808 46.5 1.0470 0.1846 -0.7133 0.023 0.101 -2.197
0.85 -20.8 1.6 -41.5 0.44 0.13 -0.18 37.425048 -122.170808 46.5 1.1199 0.2311 -0.6954 0.031 0.130 -2.216
0.88 -20.8 1.6 -41.5 0.31 -0.01 -0.26 37.425048 -122.170808 46.5 0.7440 -0.5256 -0.3864 0.026 0.162 -2.237
0.91 -21.1 -1.2 -42.0 0.16 -0.11 -0.30 37.425048 -122.170808 46.5 0.5512 -0.2800 -0.0126 0.015 0.178 -2.241
0.94 -21.1 -1.2 -42.0 -0.00 -0.15 -0.38 37.425048 -122.170808 46.5 0.1477 -0.1794 0.1184 0.010 0.191 -2.239
0.97 -22.2 -2.9 -42.4 -0.03 -0.16 -0.37 37.425048 -122.170808 46.5 0.2007 -0.2664 0.1117 0.002 0.195 -2.236
1.01 -22.2 -2.9 -42.4 -0.15 -0.09 -0.21 37.425048 -122.170808 46.5 0.5402 -0.0473 0.1572 -0.004 0.206 -2.233
1.04 -22.8 -3.8 -41.7 -0.27 -0.10 -0.27 37.425048 -122.170808 46.5 -0.0744 0.3577 0.0044 0.001 0.213 -2.231
