iPhone Sensor Log from Crossbow started at Nov 18, 2011 1:57:52 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.04 -18.7 1.8 -45.1 0.07 -0.12 -1.04 37.425052 -122.170745 36.8 -0.0791 -0.0678 0.0808 0.073 0.126 -2.059
0.07 -19.0 2.2 -43.8 0.04 -0.14 -1.00 37.425052 -122.170745 36.8 0.1024 0.1499 0.0479 0.075 0.129 -2.057
0.10 -19.0 2.2 -43.8 0.08 -0.18 -0.98 37.425052 -122.170745 36.8 0.0768 -0.6767 -0.0214 0.065 0.134 -2.057
0.13 -19.1 2.4 -41.8 0.03 -0.09 -1.02 37.425052 -122.170745 36.8 -0.2289 -0.8649 -0.1659 0.041 0.131 -2.060
0.16 -19.1 2.4 -41.8 0.02 -0.07 -1.05 37.425052 -122.170745 36.8 -0.4932 -0.1991 -0.3292 0.029 0.120 -2.067
0.20 -19.0 2.7 -41.7 0.04 -0.15 -1.05 37.425052 -122.170745 36.8 -0.2983 0.0274 -0.0786 0.031 0.105 -2.075
0.23 -19.0 2.7 -41.7 0.01 -0.09 -1.00 37.425052 -122.170745 36.8 0.0332 -0.4828 -0.0866 0.020 0.103 -2.076
0.26 -20.3 3.3 -40.5 0.02 -0.07 -1.00 37.425052 -122.170745 36.8 -0.1420 -0.2300 -0.3047 0.010 0.099 -2.082
0.29 -20.3 3.3 -40.5 0.00 -0.11 -1.06 37.425052 -122.170745 36.8 -0.3219 -0.0571 -0.0958 0.009 0.090 -2.089
0.32 -21.6 3.8 -40.5 0.03 -0.09 -1.02 37.425052 -122.170745 36.8 -0.1919 -0.2387 -0.0659 0.005 0.084 -2.091
0.35 -21.6 3.8 -40.5 -0.01 -0.05 -1.03 37.425052 -122.170745 36.8 -0.1176 -0.1812 -0.1214 -0.000 0.080 -2.094
0.38 -21.7 3.3 -40.2 -0.05 -0.08 -1.19 37.425052 -122.170745 36.8 -0.6293 -0.1121 -0.2312 -0.007 0.061 -2.104
0.41 -21.7 3.3 -40.2 -0.02 -0.07 -1.16 37.425052 -122.170745 36.8 -0.3677 -0.2081 -0.1977 -0.011 0.046 -2.110
0.44 -22.3 4.1 -38.9 -0.05 -0.04 -1.08 37.425052 -122.170745 36.8 0.1960 -0.5117 -0.0087 -0.022 0.046 -2.113
0.48 -22.3 4.1 -38.9 -0.05 -0.04 -1.08 37.425052 -122.170745 36.8 0.0543 -0.0639 -0.0275 -0.034 0.052 -2.113
0.51 -22.6 4.8 -39.2 -0.06 -0.07 -1.11 37.425052 -122.170745 36.8 -0.1677 -0.0171 -0.0050 -0.036 0.050 -2.114
0.54 -22.6 4.8 -39.2 -0.13 -0.11 -1.15 37.425052 -122.170745 36.8 -0.1210 -0.0697 0.0606 -0.037 0.046 -2.114
0.57 -23.8 4.7 -39.1 -0.10 -0.10 -1.08 37.425052 -122.170745 36.8 0.1696 -0.1790 0.0141 -0.049 0.050 -2.115
0.60 -23.8 4.7 -39.1 -0.10 -0.09 -1.01 37.425052 -122.170745 36.8 -0.1582 0.2189 0.1108 -0.050 0.052 -2.113
0.63 -24.0 4.8 -38.9 -0.14 -0.10 -1.08 37.425052 -122.170745 36.8 -0.5147 0.2394 -0.1196 -0.046 0.039 -2.114
0.66 -24.0 4.8 -38.9 -0.10 -0.14 -1.18 37.425052 -122.170745 36.8 -0.1190 0.0690 0.0313 -0.042 0.030 -2.116
0.69 -23.8 5.6 -39.2 -0.12 -0.13 -1.21 37.425052 -122.170745 36.8 0.2637 0.1033 0.2304 -0.040 0.034 -2.113
0.73 -23.8 5.6 -39.2 -0.25 -0.17 -1.35 37.425052 -122.170745 36.8 -0.4833 1.2957 0.1326 -0.008 0.029 -2.101
0.76 -23.3 6.6 -39.2 -0.14 -0.21 -1.52 37.425052 -122.170745 36.8 0.0248 0.3192 0.1283 0.011 0.022 -2.099
0.79 -23.3 6.6 -39.2 -0.18 -0.13 -1.47 37.425052 -122.170745 36.8 0.5598 -0.1454 0.4839 0.009 0.033 -2.089
0.82 -22.1 6.2 -40.1 -0.20 -0.11 -1.53 37.425052 -122.170745 36.8 -0.2149 0.7475 0.3737 0.020 0.039 -2.074
0.85 -22.1 6.2 -40.1 -0.15 -0.05 -1.63 37.425052 -122.170745 36.8 -0.2004 0.7080 0.3793 0.040 0.031 -2.065
0.89 -20.1 5.8 -41.2 -0.11 -0.01 -1.43 37.425052 -122.170745 36.8 0.4849 0.1028 0.3973 0.057 0.047 -2.048
0.91 -20.1 5.8 -41.2 -0.09 -0.01 -1.46 37.425052 -122.170745 36.8 0.3129 0.3926 0.2586 0.062 0.057 -2.040
0.94 -19.1 6.0 -40.9 0.02 0.13 -1.25 37.425069 -122.170803 36.7 0.6725 0.1449 0.1885 0.069 0.070 -2.035
0.98 -19.1 6.0 -40.9 -0.05 0.06 -0.98 37.425069 -122.170803 36.7 0.9832 -0.7068 0.2731 0.052 0.104 -2.030
1.01 -18.5 5.1 -41.4 0.01 0.06 -0.76 37.425069 -122.170803 36.7 0.8744 -0.3722 -0.1363 0.038 0.127 -2.029
1.04 -18.5 5.1 -41.4 0.14 0.08 -0.39 37.425069 -122.170803 36.7 1.2627 -0.3376 -0.4990 0.030 0.157 -2.041
1.07 -19.5 1.8 -41.5 0.17 0.01 -0.37 37.425069 -122.170803 36.7 0.5160 -0.1577 -0.3601 0.020 0.190 -2.055
1.10 -19.5 1.8 -41.5 0.13 0.03 -0.48 37.425069 -122.170803 36.7 0.4257 -0.0937 -0.6343 0.022 0.198 -2.074
1.13 -20.4 -0.5 -41.9 0.39 0.05 -0.28 37.425069 -122.170803 36.7 1.1791 -0.5553 -1.0509 0.018 0.222 -2.100
1.16 -20.4 -0.5 -41.9 0.25 -0.02 -0.39 37.425069 -122.170803 36.7 0.5527 -0.4414 -0.6259 0.007 0.253 -2.134
1.19 -21.7 -3.9 -42.1 0.17 -0.13 -0.53 37.425069 -122.170803 36.7 0.1226 -0.1984 -0.2404 0.000 0.261 -2.143
1.23 -21.7 -3.9 -42.1 0.09 -0.11 -0.39 37.425069 -122.170803 36.7 0.4901 -0.2863 -0.3416 -0.003 0.267 -2.153
1.26 -22.5 -5.6 -41.2 0.07 -0.20 -0.32 37.425069 -122.170803 36.7 0.9516 -0.7831 -0.2018 -0.027 0.298 -2.160
1.29 -22.5 -5.6 -41.2 0.02 -0.28 -0.52 37.425069 -122.170803 36.7 0.6031 -0.4630 0.0870 -0.047 0.325 -2.165
1.32 -24.1 -7.8 -41.2 0.02 -0.28 -0.52 37.425069 -122.170803 36.7 0.4929 -0.5246 0.1247 -0.063 0.337 -2.159
1.35 -24.1 -7.8 -41.2 -0.08 -0.18 -0.42 37.425069 -122.170803 36.7 1.2433 -0.4830 0.4062 -0.083 0.367 -2.149
1.38 -25.9 -9.0 -40.4 -0.27 -0.10 -0.20 37.425069 -122.170803 36.7 0.5579 0.0970 0.0845 -0.091 0.392 -2.140
1.41 -25.9 -9.0 -40.4 -0.16 -0.28 -0.61 37.425069 -122.170803 36.7 -0.9980 0.2707 -0.0754 -0.075 0.374 -2.145
1.44 -26.6 -9.8 -38.9 -0.11 -0.21 -0.71 37.425069 -122.170803 36.7 0.2068 -1.5150 0.6720 -0.109 0.363 -2.135
1.48 -26.6 -9.8 -38.9 -0.36 -0.10 -0.54 37.425069 -122.170803 36.7 -0.2675 -0.2314 0.2827 -0.140 0.364 -2.118
1.51 -27.5 -10.0 -38.7 -0.24 -0.15 -0.94 37.425069 -122.170803 36.7 -1.7545 0.3438 -0.7930 -0.113 0.315 -2.143
1.54 -27.5 -10.0 -38.7 -0.08 -0.11 -1.03 37.425069 -122.170803 36.7 -0.1407 -1.7166 0.1687 -0.138 0.293 -2.153
1.57 -29.2 -8.1 -38.1 -0.22 -0.15 -0.88 37.425069 -122.170803 36.7 -0.2503 -0.5246 0.1370 -0.173 0.291 -2.146
1.60 -29.2 -8.1 -38.1 -0.20 -0.18 -1.04 37.425069 -122.170803 36.7 -0.8062 0.4870 -0.6234 -0.153 0.265 -2.164
1.63 -29.6 -7.1 -38.3 -0.17 -0.16 -0.90 37.425069 -122.170803 36.7 -0.4130 -0.8589 -0.2983 -0.171 0.255 -2.183
1.66 -29.6 -7.1 -38.3 -0.16 -0.19 -1.07 37.425069 -122.170803 36.7 -0.9044 -0.1050 -0.7311 -0.175 0.235 -2.201
1.69 -30.4 -7.2 -38.4 -0.23 -0.16 -1.14 37.425069 -122.170803 36.7 -0.6419 -0.8327 -0.6909 -0.187 0.215 -2.232
1.73 -30.4 -7.2 -38.4 -0.28 -0.08 -1.20 37.425069 -122.170803 36.7 -0.6360 -0.1538 -1.0124 -0.193 0.205 -2.259
1.76 -31.0 -6.1 -37.6 -0.27 -0.08 -1.40 37.425069 -122.170803 36.7 -1.2015 -0.1318 -1.4552 -0.187 0.186 -2.296
1.79 -31.0 -6.1 -37.6 0.33 -0.01 -1.72 37.425069 -122.170803 36.7 -1.4100 -0.1548 -2.4864 -0.186 0.145 -2.403
1.82 -30.8 -5.8 -36.7 0.42 -0.21 -1.61 37.425069 -122.170803 36.7 -0.9900 -0.0592 -2.0349 -0.181 0.124 -2.468
1.85 -30.8 -5.8 -36.7 0.48 -0.25 -1.61 37.425069 -122.170803 36.7 -0.8155 0.1857 -1.7954 -0.166 0.103 -2.541
1.88 -30.1 -7.0 -36.8 0.51 -0.23 -1.50 37.425069 -122.170803 36.7 -0.2707 0.1078 -1.1991 -0.162 0.097 -2.582
1.91 -30.1 -7.0 -36.8 0.45 -0.25 -1.37 37.425069 -122.170803 36.7 -0.0152 0.7896 -0.5622 -0.145 0.098 -2.605
1.95 -29.4 -9.1 -37.2 0.32 -0.16 -1.42 37.425069 -122.170803 37.5 0.1032 -0.0281 0.3464 -0.130 0.102 -2.605
1.98 -29.4 -9.1 -37.2 0.37 -0.04 -1.05 37.425069 -122.170803 37.5 0.4591 0.9758 0.3782 -0.117 0.109 -2.595
2.01 -27.9 -10.1 -39.1 0.47 0.03 -0.86 37.425069 -122.170803 37.5 0.4718 0.8893 0.5885 -0.090 0.121 -2.580
2.04 -27.9 -10.1 -39.1 0.73 0.01 -1.15 37.425069 -122.170803 37.5 -0.0233 -0.5514 0.7188 -0.092 0.127 -2.558
2.07 -26.8 -9.9 -40.1 0.28 -0.02 -0.96 37.425069 -122.170803 37.5 0.3717 0.4922 1.5306 -0.093 0.127 -2.527
2.10 -26.8 -9.9 -40.1 0.23 -0.05 -0.81 37.425069 -122.170803 37.5 0.3562 0.5228 1.8042 -0.080 0.133 -2.478
2.13 -26.2 -9.1 -41.1 0.41 0.02 -0.98 37.425069 -122.170803 37.5 -0.0437 -0.1643 0.6769 -0.076 0.130 -2.430
2.16 -26.2 -9.1 -41.1 0.16 -0.02 -1.03 37.425069 -122.170803 37.5 -0.1491 0.8722 0.6234 -0.065 0.127 -2.416
