iPhone Sensor Log from Crossbow started at Dec 4, 2011 11:08:58 PM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -4.5 -1.8 -50.1 -0.08 -0.02 -0.78 (null) (null) (null) -0.0342 0.0320 -0.0062 -0.005 0.030 -0.210
0.06 -3.4 -1.3 -49.5 -0.05 -0.02 -1.05 (null) (null) (null) -0.4443 0.0064 -0.1279 -0.009 0.016 -0.212
0.10 -3.4 -1.3 -49.5 0.01 0.01 -1.13 (null) (null) (null) -0.1235 0.1530 -0.1284 -0.007 0.009 -0.216
0.13 -3.8 -0.6 -49.5 0.10 0.06 -1.16 (null) (null) (null) 0.0272 0.0943 -0.2874 -0.003 0.009 -0.222
0.16 -3.8 -0.6 -49.5 0.14 0.04 -1.20 (null) (null) (null) 0.0176 -0.0466 -0.2662 -0.003 0.011 -0.230
0.19 -3.4 -0.4 -50.2 0.16 -0.04 -1.33 (null) (null) (null) -0.1546 0.1038 -0.1881 -0.003 0.007 -0.238
0.22 -3.4 -0.4 -50.2 0.13 -0.02 -1.38 (null) (null) (null) -0.1943 -0.1173 -0.2048 -0.001 0.001 -0.245
0.25 -3.3 -0.6 -50.4 0.09 0.02 -1.42 (null) (null) (null) -0.1867 -0.4085 -0.2282 -0.011 -0.004 -0.251
0.28 -3.3 -0.6 -50.4 0.17 0.01 -1.36 (null) (null) (null) -0.2262 -0.4888 -0.2698 -0.024 -0.009 -0.259
0.31 -4.5 -0.1 -49.9 0.12 0.05 -1.44 (null) (null) (null) -0.3760 -0.6126 -0.0820 -0.039 -0.018 -0.264
0.35 -4.5 -0.1 -49.9 0.02 0.07 -1.34 (null) (null) (null) -0.0847 -0.6237 0.0217 -0.063 -0.027 -0.266
0.38 -4.8 0.1 -49.5 0.00 0.06 -1.33 (null) (null) (null) -0.1204 -0.7075 -0.0463 -0.081 -0.028 -0.266
0.41 -4.8 0.1 -49.5 0.00 0.08 -1.29 (null) (null) (null) 0.0225 -0.6003 -0.0611 -0.100 -0.030 -0.269
0.44 -6.2 0.9 -49.9 -0.07 0.11 -1.14 (null) (null) (null) 0.2638 -0.5342 -0.0192 -0.119 -0.023 -0.269
0.47 -6.2 0.9 -49.9 -0.01 0.04 -1.18 (null) (null) (null) 0.4096 -0.3040 -0.0864 -0.137 -0.010 -0.271
0.50 -7.2 1.8 -49.3 -0.13 0.04 -0.84 (null) (null) (null) 0.8310 0.4247 0.0322 -0.133 0.009 -0.268
0.53 -7.2 1.8 -49.3 -0.15 -0.01 -0.83 (null) (null) (null) 0.4010 0.9469 -0.0496 -0.112 0.026 -0.266
0.56 -6.9 0.4 -48.7 -0.11 -0.06 -0.94 (null) (null) (null) -0.0704 0.4304 -0.0592 -0.088 0.028 -0.268
0.60 -6.9 0.4 -48.7 -0.20 -0.06 -0.78 (null) (null) (null) 0.1938 0.5265 -0.0522 -0.076 0.032 -0.269
0.63 -4.5 -1.3 -47.6 -0.18 -0.10 -0.93 (null) (null) (null) -0.0232 0.0975 -0.2227 -0.069 0.036 -0.273
0.66 -4.5 -1.3 -47.6 -0.24 -0.09 -0.85 (null) (null) (null) 0.2105 -0.0979 -0.3112 -0.076 0.041 -0.280
0.69 -4.0 -1.3 -46.9 -0.18 -0.09 -0.72 (null) (null) (null) 0.2668 -0.2170 -0.5565 -0.079 0.060 -0.298
0.72 -4.0 -1.3 -46.9 -0.10 -0.08 -0.80 (null) (null) (null) 0.1827 -0.0624 -0.5395 -0.083 0.067 -0.313
0.75 -4.1 -1.9 -46.8 -0.10 -0.06 -0.77 (null) (null) (null) 0.2985 0.0006 -0.3729 -0.083 0.075 -0.325
0.78 -4.1 -1.9 -46.8 -0.15 -0.07 -0.78 (null) (null) (null) 0.4134 0.5100 -0.2510 -0.074 0.086 -0.332
0.81 -3.3 -2.8 -46.3 -0.14 -0.06 -0.76 (null) (null) (null) 0.4121 0.3141 -0.3254 -0.056 0.103 -0.341
0.85 -3.3 -2.8 -46.3 -0.04 -0.08 -0.74 (null) (null) (null) 0.4028 0.0430 -0.4066 -0.051 0.115 -0.351
0.88 -1.8 -3.6 -45.4 0.01 -0.11 -0.65 (null) (null) (null) 0.5339 0.2469 -0.3440 -0.047 0.129 -0.362
0.91 -1.8 -3.6 -45.4 -0.03 -0.11 -0.57 (null) (null) (null) 0.5761 0.3369 -0.1405 -0.039 0.145 -0.367
0.94 -1.4 -4.0 -45.1 0.02 -0.15 -0.54 (null) (null) (null) 0.2867 0.4304 -0.1187 -0.016 0.166 -0.374
0.97 -1.4 -4.0 -45.1 0.10 -0.15 -0.59 (null) (null) (null) 0.1134 0.2156 -0.0252 -0.007 0.171 -0.376
1.00 0.2 -4.9 -43.1 0.12 -0.13 -0.57 (null) (null) (null) 0.0865 0.4352 0.1307 -0.000 0.174 -0.374
1.03 0.2 -4.9 -43.1 0.12 -0.08 -0.64 (null) (null) (null) -0.0753 0.4222 0.2338 0.012 0.175 -0.369
1.06 1.7 -4.6 -43.2 0.14 -0.11 -0.80 (null) (null) (null) -0.3027 0.3849 0.3093 0.021 0.169 -0.361
1.10 1.7 -4.6 -43.2 0.13 -0.13 -0.78 (null) (null) (null) -0.0935 0.2731 0.4663 0.032 0.162 -0.346
1.13 3.9 -4.4 -42.8 0.08 -0.11 -0.67 (null) (null) (null) 0.0139 0.1652 0.4756 0.035 0.162 -0.332
1.16 3.9 -4.4 -42.8 0.10 -0.14 -0.75 (null) (null) (null) -0.1890 0.3500 0.4609 0.039 0.160 -0.320
1.19 5.0 -5.0 -43.6 0.05 -0.07 -0.62 (null) (null) (null) -0.1169 0.3829 0.6289 0.048 0.156 -0.297
1.22 5.0 -5.0 -43.6 0.12 -0.10 -0.72 (null) (null) (null) -0.5010 0.3252 0.4978 0.060 0.146 -0.276
1.25 4.1 -4.7 -45.7 0.16 -0.13 -0.72 (null) (null) (null) -0.4616 0.3172 0.5616 0.065 0.132 -0.260
1.28 4.1 -4.7 -45.7 0.04 0.02 -0.61 (null) (null) (null) -0.3192 0.3398 0.7669 0.073 0.125 -0.241
1.31 5.6 -3.0 -46.6 0.07 -0.02 -0.89 (null) (null) (null) -0.8809 0.3646 0.7755 0.080 0.110 -0.217
1.35 5.6 -3.0 -46.6 0.08 0.01 -0.85 (null) (null) (null) -0.7370 0.2927 0.6886 0.088 0.076 -0.187
1.38 6.9 -1.6 -47.5 0.15 0.01 -0.79 (null) (null) (null) -0.5144 -0.1774 0.5645 0.085 0.063 -0.168
1.41 6.9 -1.6 -47.5 0.08 0.01 -0.88 (null) (null) (null) -0.6442 0.0772 0.6432 0.080 0.049 -0.150
1.44 7.4 0.8 -48.0 0.05 0.12 -1.14 (null) (null) (null) -0.9446 0.0644 0.6056 0.089 0.019 -0.122
1.47 7.4 0.8 -48.0 0.09 0.10 -1.25 (null) (null) (null) -0.9014 0.0026 0.5545 0.085 -0.015 -0.100
1.50 7.7 1.8 -48.3 -0.07 0.14 -1.24 (null) (null) (null) -0.4855 -0.0303 0.5985 0.088 -0.031 -0.082
1.53 7.7 1.8 -48.3 0.07 0.12 -1.23 (null) (null) (null) -0.3967 -0.3546 0.3233 0.081 -0.042 -0.069
1.56 7.7 3.0 -49.6 -0.00 0.07 -1.11 (null) (null) (null) -0.1987 -0.1849 0.3297 0.073 -0.049 -0.060
1.60 7.7 3.0 -49.6 -0.05 0.03 -1.24 (null) (null) (null) -0.2599 0.6611 0.5441 0.084 -0.054 -0.041
