iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:06:08 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 3.0 17.8 -12.9 -0.17 -0.24 -0.95 37.427163 -122.173288 34.1 -0.2667 -0.0162 0.0033 -0.164 0.241 -2.569
0.06 2.6 18.5 -12.6 -0.17 -0.24 -0.99 37.427163 -122.173288 34.1 0.0296 0.2569 0.0669 -0.161 0.237 -2.568
0.10 2.6 18.5 -12.6 -0.20 -0.25 -0.90 37.427163 -122.173288 34.1 0.2530 0.7646 0.0989 -0.148 0.243 -2.564
0.13 3.3 18.4 -13.4 -0.16 -0.23 -0.97 37.427163 -122.173288 34.1 0.1533 1.1925 0.1226 -0.122 0.248 -2.561
0.16 3.3 18.4 -13.4 -0.01 -0.35 -0.99 37.427163 -122.173288 34.1 0.2206 1.2322 -0.0732 -0.077 0.256 -2.558
0.19 4.1 18.0 -13.5 -0.02 -0.24 -0.88 37.427163 -122.173288 34.1 -0.1102 0.5759 0.1896 -0.046 0.259 -2.553
0.22 4.1 18.0 -13.5 -0.01 -0.21 -1.01 37.427163 -122.173288 34.1 -0.4833 0.1807 0.2347 -0.039 0.248 -2.548
0.25 5.1 18.6 -13.2 0.03 -0.20 -1.05 37.427163 -122.173288 34.1 -0.2075 0.3786 0.6132 -0.033 0.237 -2.535
0.28 5.1 18.6 -13.2 0.02 -0.24 -0.92 37.427163 -122.173288 34.1 -0.1202 0.5013 0.9727 -0.022 0.235 -2.503
0.32 5.8 18.3 -12.9 -0.03 -0.20 -0.97 37.427163 -122.173288 34.1 -0.3968 0.9806 1.1674 -0.009 0.226 -2.472
0.35 5.8 18.3 -12.9 0.14 -0.23 -1.09 37.427163 -122.173288 34.1 -0.3333 1.2221 1.1720 0.016 0.216 -2.439
0.38 7.2 18.0 -12.4 0.07 -0.16 -0.85 37.427163 -122.173288 34.1 0.0252 0.5525 1.1346 0.032 0.213 -2.406
0.41 7.2 18.0 -12.4 0.08 -0.19 -0.96 37.427163 -122.173288 34.1 -0.1086 0.8560 1.1566 0.047 0.217 -2.361
0.44 9.1 18.2 -12.3 0.07 -0.23 -0.98 37.427163 -122.173288 34.1 -0.2130 1.6238 0.7868 0.088 0.212 -2.326
0.47 9.1 18.2 -12.3 0.10 -0.18 -1.00 37.427163 -122.173288 34.1 0.0429 2.0433 0.7702 0.134 0.213 -2.303
0.50 10.4 18.1 -11.8 0.25 -0.28 -1.51 37.427163 -122.173288 34.1 0.2726 2.4409 0.4056 0.198 0.220 -2.287
0.53 10.4 18.1 -11.8 0.08 -0.42 -0.76 37.427163 -122.173288 34.1 0.7083 1.0890 0.2692 0.240 0.258 -2.280
0.56 12.7 17.2 -11.5 0.13 -0.44 -0.81 37.427163 -122.173288 34.1 -0.8747 1.1143 0.8034 0.262 0.254 -2.264
0.60 12.7 17.2 -11.5 0.29 -0.21 -1.30 37.427163 -122.173288 34.1 -2.6125 3.1921 0.3956 0.315 0.211 -2.230
0.63 13.8 16.8 -10.1 -1.38 0.24 -1.99 37.427163 -122.173288 34.1 -4.6161 3.6293 0.2040 0.411 0.114 -2.191
0.66 13.8 16.8 -10.1 0.38 -0.23 -1.96 37.427163 -122.173288 34.1 -4.0937 -0.6348 -1.6430 0.437 -0.097 -2.065
0.69 14.4 17.3 -5.7 0.70 0.68 -1.96 37.427163 -122.173288 34.1 3.2874 0.8900 -2.2094 0.450 -0.067 -2.159
0.72 14.4 17.3 -5.7 1.72 0.63 -1.95 37.427163 -122.173288 34.1 3.4296 -1.2683 -2.0351 0.437 -0.011 -2.253
0.75 14.3 17.8 -7.0 2.02 1.29 -1.95 37.427163 -122.173288 34.1 5.6881 -1.4276 -1.3178 0.397 0.089 -2.345
0.78 14.3 17.8 -7.0 2.03 1.77 -1.92 37.427163 -122.173288 34.1 7.7716 -1.5309 -0.6636 0.373 0.260 -2.444
0.81 13.2 14.0 -17.7 1.88 1.96 -1.19 37.427163 -122.173288 34.1 8.8225 -1.3933 1.1124 0.360 0.558 -2.556
0.85 13.2 14.0 -17.7 1.16 2.02 -0.64 37.427163 -122.173288 34.1 8.9894 -2.0009 2.6697 0.338 0.810 -2.597
0.88 10.9 4.8 -24.4 0.49 1.86 0.27 37.427163 -122.173288 34.1 9.1465 -2.2989 3.3212 0.261 1.079 -2.581
0.91 10.9 4.8 -24.4 0.11 1.35 0.63 37.427163 -122.173288 34.1 7.8300 -1.4348 2.6105 -0.033 1.410 -2.350
0.94 7.1 -6.9 -25.4 0.10 0.87 0.77 37.427163 -122.173288 34.1 5.7998 -1.2574 1.6558 -2.378 1.451 -0.042
0.97 7.1 -6.9 -25.4 -0.07 0.59 1.06 37.427163 -122.173288 34.1 4.7176 -1.4691 1.5067 -2.670 1.307 0.215
1.00 0.5 -19.3 -19.7 -0.15 0.21 1.19 37.427163 -122.173288 34.1 3.3352 -1.6434 1.4013 -2.743 1.191 0.246
1.03 0.5 -19.3 -19.7 -0.28 0.06 1.32 37.427163 -122.173288 34.1 1.9910 -1.8926 1.5353 -2.775 1.085 0.211
1.06 -2.9 -21.9 -14.5 -0.53 -0.02 1.41 37.427163 -122.173288 34.1 1.1468 -2.1059 1.7875 -2.781 1.028 0.152
1.10 -2.9 -21.9 -14.5 -0.62 -0.15 1.29 37.427163 -122.173288 34.1 0.0510 -2.0493 1.3930 -2.782 0.999 0.083
1.13 -7.4 -21.0 -8.1 -0.58 -0.26 1.13 37.427163 -122.173288 34.1 -0.7262 -1.8509 0.9874 -2.782 0.999 0.020
1.16 -7.4 -21.0 -8.1 -0.61 -0.27 1.06 37.427163 -122.173288 34.1 -1.2216 -1.4191 0.4018 -2.786 1.027 -0.048
1.19 -9.2 -19.8 -6.4 -0.70 -0.24 1.10 37.427163 -122.173288 34.1 -1.3748 -1.3748 0.2945 -2.788 1.068 -0.103
1.22 -9.2 -19.8 -6.4 -0.89 -0.17 1.06 37.427163 -122.173288 34.1 -1.7656 -1.5757 0.3228 -2.784 1.106 -0.154
1.25 -10.3 -18.6 -7.1 -1.04 0.09 0.82 37.427163 -122.173288 34.1 -2.2386 -1.6472 0.0489 -2.778 1.157 -0.212
1.28 -10.3 -18.6 -7.1 -0.92 0.18 0.51 37.427163 -122.173288 34.1 -2.8094 -1.9724 -0.1372 -2.766 1.223 -0.279
1.31 -10.6 -18.6 -8.0 -0.73 0.10 0.07 37.427163 -122.173288 34.1 -4.1125 -2.9000 -1.0529 -2.777 1.355 -0.372
1.35 -10.6 -18.6 -8.0 -0.63 0.10 -0.35 37.427163 -122.173288 34.1 -4.7500 -3.0742 -1.3817 -2.786 1.485 -0.446
1.38 -11.0 -17.8 -10.9 -0.71 0.24 -0.93 37.427163 -122.173288 34.1 -4.9681 -3.3634 -1.3742 0.172 1.516 2.789
1.41 -11.0 -17.8 -10.9 -0.76 0.50 -1.24 37.427163 -122.173288 34.1 -5.5754 -3.9451 -1.0847 0.142 1.364 2.716
1.44 -11.3 -16.2 -14.2 -0.76 0.50 -1.24 37.427163 -122.173288 34.1 -5.6302 -3.1223 -1.7428 0.063 1.092 2.611
1.47 -11.3 -16.2 -14.2 -0.59 0.64 -1.40 37.427163 -122.173288 34.1 -5.1900 -2.2937 -2.2610 0.068 0.940 2.521
1.50 -14.0 -10.1 -18.7 -0.38 0.87 -1.36 37.427163 -122.173288 34.1 -4.8495 -2.0586 -2.3316 0.073 0.798 2.436
