iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:02:00 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.06 9.4 19.0 -15.0 -0.00 -0.35 -1.01 37.428033 -122.174212 35.4 -0.4346 -0.1940 -0.0451 -0.038 0.334 -2.818
0.09 9.1 19.4 -13.8 -0.06 -0.35 -1.16 37.428033 -122.174212 35.4 0.2974 0.8256 -0.0598 -0.022 0.334 -2.819
0.12 9.1 19.4 -13.8 0.01 -0.38 -0.73 37.428033 -122.174212 35.4 1.0048 1.1658 -0.2193 0.009 0.354 -2.824
0.15 9.5 19.9 -12.7 0.07 -0.34 -0.80 37.428033 -122.174212 35.4 -0.1011 0.2856 -0.2336 0.031 0.366 -2.831
0.18 9.5 19.9 -12.7 0.05 -0.31 -0.87 37.428033 -122.174212 35.4 -0.5733 0.2896 -0.1202 0.033 0.345 -2.836
0.22 9.9 19.8 -12.5 0.03 -0.32 -0.88 37.428033 -122.174212 35.4 -0.2177 0.7325 -0.0864 0.062 0.335 -2.840
0.25 9.9 19.8 -12.5 0.02 -0.32 -0.80 37.428033 -122.174212 35.4 -0.4261 -0.0268 0.0200 0.070 0.325 -2.840
0.28 10.4 20.0 -11.8 0.01 -0.27 -0.97 37.428033 -122.174212 35.4 -0.8182 -0.3208 -0.0244 0.059 0.305 -2.837
0.31 10.4 20.0 -11.8 0.01 -0.25 -0.93 37.428033 -122.174212 35.4 -0.6687 0.2078 -0.1283 0.057 0.283 -2.838
0.34 10.4 20.6 -11.4 -0.08 -0.25 -0.76 37.428033 -122.174212 35.4 -0.6074 0.3012 -0.2224 0.071 0.262 -2.844
0.37 10.4 20.6 -11.4 -0.07 -0.19 -0.60 37.428033 -122.174212 35.4 -0.8712 0.4103 -0.3579 0.080 0.241 -2.850
0.40 10.6 22.5 -10.3 0.14 -0.29 -1.07 37.428033 -122.174212 35.4 -1.3555 1.5370 -0.8420 0.113 0.208 -2.865
0.43 10.6 22.5 -10.3 0.13 -0.35 -1.12 37.428033 -122.174212 35.4 -1.1323 3.2049 -0.8663 0.207 0.151 -2.890
0.47 11.0 23.5 -7.7 0.42 -0.27 -1.63 37.428033 -122.174212 35.4 -2.0032 2.2332 -0.8856 0.318 0.091 -2.908
