iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:48:19 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 29.9 -8.0 -12.6 0.40 -0.30 -0.81 37.427957 -122.174328 34.8 -0.6893 0.0197 0.7623 0.503 0.335 -1.758
0.06 29.9 -8.0 -12.6 0.37 -0.31 -0.76 37.427957 -122.174328 34.8 -0.5397 0.4836 0.3840 0.496 0.328 -1.716
0.10 30.6 -9.4 -11.6 0.48 -0.41 -0.74 37.427957 -122.174328 34.8 -0.5745 0.9952 0.0279 0.515 0.317 -1.704
0.13 30.6 -9.4 -11.6 0.66 -0.26 -0.51 37.427957 -122.174328 34.8 -0.6798 0.5464 -0.4749 0.538 0.298 -1.703
0.16 30.6 -9.6 -11.0 0.31 -0.13 -0.65 37.427957 -122.174328 34.8 -1.5669 -1.1175 -0.1983 0.523 0.266 -1.695
0.19 30.6 -9.6 -11.0 0.09 -0.18 -0.80 37.427957 -122.174328 34.8 -2.1639 -1.8442 -0.7133 0.459 0.191 -1.671
0.22 30.4 -6.5 -13.0 0.42 -0.13 -0.76 37.427957 -122.174328 34.8 -1.5248 -0.6116 -0.8507 0.428 0.142 -1.676
0.25 30.4 -6.5 -13.0 0.13 0.08 -0.13 37.427957 -122.174328 34.8 -2.1968 -1.5882 0.2802 0.395 0.084 -1.659
0.28 29.3 -4.1 -16.7 -0.08 0.06 -0.80 37.427957 -122.174328 34.8 -3.0143 -1.8125 0.1016 0.331 0.029 -1.627
0.31 29.3 -4.1 -16.7 0.00 0.10 -0.53 37.427957 -122.174328 34.8 -3.4761 -3.0366 0.3953 0.265 -0.090 -1.578
0.35 26.0 -0.1 -21.5 -0.19 0.26 -0.66 37.427957 -122.174328 34.8 -3.3996 -5.1718 1.5524 0.102 -0.204 -1.515
0.38 26.0 -0.1 -21.5 -0.22 0.41 -0.85 37.427957 -122.174328 34.8 -2.6140 -2.6214 1.5968 0.006 -0.287 -1.459
0.41 23.2 2.5 -24.4 -0.35 0.18 -0.92 37.427957 -122.174328 34.8 -1.6089 -1.1948 0.5980 -0.026 -0.340 -1.433
0.44 23.2 2.5 -24.4 -0.85 0.29 -1.67 37.427957 -122.174328 34.8 -1.4986 -0.4557 1.4339 -0.030 -0.395 -1.403
0.47 19.3 5.1 -28.6 -1.98 -0.14 -2.00 37.427957 -122.174328 34.8 0.1510 -2.1978 1.4265 -0.053 -0.412 -1.350
0.50 19.3 5.1 -28.6 -1.97 0.47 -2.00 37.427957 -122.174328 34.8 -4.2068 -5.0731 -2.5006 -0.195 -0.475 -1.399
0.53 15.5 9.6 -28.4 -1.96 1.03 -2.01 37.427957 -122.174328 34.8 -3.4113 -1.2301 -2.6622 -0.335 -0.552 -1.519
0.56 15.5 9.6 -28.4 -1.95 1.79 -2.01 37.427957 -122.174328 34.8 -2.1763 -1.4861 -3.5472 -0.467 -0.605 -1.682
0.60 9.4 14.3 -27.4 -1.95 1.93 -2.01 37.427957 -122.174328 34.8 1.9270 0.6410 -6.3427 -0.584 -0.507 -1.884
0.63 9.4 14.3 -27.4 -1.95 1.93 -1.92 37.427957 -122.174328 34.8 4.0406 0.2455 -7.1031 -0.618 -0.322 -1.996
0.66 1.6 13.6 -28.9 -1.95 1.93 -1.81 37.427957 -122.174328 34.8 4.3941 -0.0390 -7.6986 -0.639 -0.103 -2.095
0.69 1.6 13.6 -28.9 -1.78 1.94 -1.43 37.427957 -122.174328 34.8 5.0401 -0.0219 -8.3916 -0.627 0.214 -2.233
0.72 -1.8 5.4 -29.0 -0.94 1.97 -0.91 37.427957 -122.174328 34.8 5.8649 -0.5096 -8.8364 -0.598 0.480 -2.348
0.75 -1.8 5.4 -29.0 -0.75 1.97 -0.65 37.427957 -122.174328 34.8 5.5596 -0.3992 -8.4041 -0.528 0.745 -2.493
0.78 0.4 -7.9 -24.6 -0.75 1.97 -0.65 37.427957 -122.174328 34.8 5.2737 0.3471 -7.2195 -0.383 0.976 -2.687
0.81 0.4 -7.9 -24.6 -0.76 1.97 -0.76 37.427957 -122.174328 34.8 5.0511 1.8809 -6.7839 0.106 1.204 3.111
0.85 5.1 -11.2 -20.0 -0.13 1.99 -0.78 37.427957 -122.174328 34.8 6.8399 -0.9769 -7.4625 1.115 1.234 2.063
0.88 5.1 -11.2 -20.0 0.40 2.01 -0.10 37.427957 -122.174328 34.8 7.0194 -1.6606 -7.2467 1.607 1.067 1.478
0.91 8.5 -13.2 -14.2 1.02 1.98 0.34 37.427957 -122.174328 34.8 5.9969 -0.4494 -6.3349 1.801 0.856 1.210
0.94 8.5 -13.2 -14.2 1.76 1.60 0.72 37.427957 -122.174328 34.8 5.2251 -0.2367 -3.8382 1.929 0.617 1.017
0.97 9.3 -15.5 -11.9 1.85 1.25 1.17 37.427957 -122.174328 34.8 4.1349 -1.3958 -1.9241 1.957 0.500 0.907
1.00 9.3 -15.5 -11.9 1.76 1.12 1.09 37.427957 -122.174328 34.8 2.7468 -0.3170 -0.6387 1.971 0.436 0.826
1.03 11.1 -18.8 -9.7 1.62 1.04 0.78 37.427957 -122.174328 34.8 1.6942 0.3213 0.5347 1.998 0.414 0.766
1.06 11.1 -18.8 -9.7 1.49 0.96 0.64 37.427957 -122.174328 34.8 1.6790 -0.3200 1.8554 2.033 0.432 0.685
1.10 10.9 -20.8 -8.6 1.29 0.96 0.84 37.427957 -122.174328 34.8 1.7924 -1.2610 3.3798 2.048 0.489 0.567
1.13 10.9 -20.8 -8.6 1.00 1.02 0.84 37.427957 -122.174328 34.8 1.2655 -0.7337 4.5978 2.073 0.570 0.463
1.16 6.9 -23.7 -6.1 0.60 1.13 0.92 37.427957 -122.174328 34.8 0.8769 -1.0114 5.5748 2.120 0.681 0.343
1.19 6.9 -23.7 -6.1 0.26 1.22 1.03 37.427957 -122.174328 34.8 0.5959 -1.1662 6.8922 2.226 0.859 0.129
1.22 2.3 -24.6 -4.2 -0.26 1.28 1.15 37.427957 -122.174328 34.8 0.5790 -1.3195 7.9506 2.401 1.003 -0.129
1.25 2.3 -24.6 -4.2 -0.85 1.51 1.49 37.427957 -122.174328 34.8 0.8617 -2.0260 8.6756 2.725 1.116 -0.555
1.28 -4.9 -24.6 -0.9 -1.26 1.61 1.81 37.427957 -122.174328 34.8 0.5528 -1.6052 9.1851 -3.079 1.139 -1.144
1.31 -4.9 -24.6 -0.9 -1.85 1.81 1.70 37.427957 -122.174328 34.8 -1.8911 -0.7669 9.8234 -2.461 1.029 -1.881
1.35 -18.3 -18.3 2.5 -1.99 1.96 1.95 37.427957 -122.174328 34.8 -3.7798 -0.7644 9.8027 -2.065 0.809 -2.410
1.38 -18.3 -18.3 2.5 -1.99 1.96 1.96 37.427957 -122.174328 34.8 -6.9883 0.7185 9.5741 -1.858 0.616 -2.731
1.41 -25.9 -7.1 2.9 -1.97 1.95 0.30 37.427957 -122.174328 34.8 -11.7606 2.3756 7.8117 -1.626 0.423 -3.092
1.44 -25.9 -7.1 2.9 -1.95 1.93 -2.01 37.427957 -122.174328 34.8 -13.7772 0.3657 3.1600 -1.425 0.200 2.686
1.47 -29.7 8.5 7.5 -1.95 1.49 -2.01 37.427957 -122.174328 34.8 -10.3097 -3.6309 1.2713 -1.421 0.094 2.358
1.50 -29.7 8.5 7.5 -1.96 1.00 -2.01 37.427957 -122.174328 34.8 -4.7887 -4.7321 0.6390 -1.548 0.050 2.167
1.53 -27.3 10.7 15.2 -1.87 0.73 -2.00 37.427957 -122.174328 34.8 -2.1391 -0.7715 0.0508 -1.609 0.043 2.083
1.56 -27.3 10.7 15.2 -1.43 0.74 -1.57 37.427957 -122.174328 34.8 0.2311 0.5621 -0.6669 -1.600 0.058 2.052
1.60 -24.2 8.4 23.0 -0.95 0.91 -1.36 37.427957 -122.174328 34.8 1.6904 1.2617 -1.1636 -1.568 0.093 2.097
1.63 -24.2 8.4 23.0 -0.63 1.11 -1.17 37.427957 -122.174328 34.8 2.4993 1.2639 -0.9428 -1.539 0.125 2.156
1.66 -25.1 8.5 22.2 -0.46 1.39 -1.01 37.427957 -122.174328 34.8 3.1888 1.4268 -0.2538 -1.514 0.144 2.238
1.69 -25.1 8.5 22.2 -0.50 1.76 -0.89 37.427957 -122.174328 34.8 3.7670 2.0249 0.8117 -1.480 0.143 2.338
1.72 -28.0 12.6 14.1 -0.66 1.97 -1.05 37.427957 -122.174328 34.8 4.4386 3.0994 2.7591 -1.400 0.094 2.503
1.75 -28.0 12.6 14.1 -1.07 1.96 -1.53 37.427957 -122.174328 34.8 4.8272 2.9221 4.5769 -1.325 0.017 2.651
1.78 -27.5 18.1 5.3 -1.00 1.96 -1.47 37.427957 -122.174328 34.8 6.4153 2.6386 5.1416 -1.244 -0.073 2.840
1.82 -27.5 18.1 5.3 -1.20 1.97 -0.25 37.427957 -122.174328 34.8 10.5690 0.7577 5.4772 -1.135 -0.132 -3.063
1.85 -19.7 21.9 -12.2 -1.79 1.95 -0.10 37.427957 -122.174328 34.8 11.0950 2.9360 6.7478 -1.018 -0.133 -2.588
1.88 -19.7 21.9 -12.2 -1.97 1.95 0.28 37.427957 -122.174328 34.8 10.0194 5.7127 8.7615 -0.840 -0.137 -2.215
1.91 -8.7 15.5 -24.1 -1.96 1.95 -0.34 37.427957 -122.174328 34.8 7.4378 7.5238 9.1308 -0.599 -0.126 -1.860
1.94 -8.7 15.5 -24.1 -1.97 1.72 -0.12 37.427957 -122.174328 34.8 4.2970 5.0630 6.9830 -0.388 -0.100 -1.591
