iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:46:17 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 20.5 2.9 -26.6 0.22 -0.24 -0.85 37.427957 -122.174328 34.8 -0.9566 -0.0063 0.4464 0.169 0.349 -2.369
0.07 21.4 3.5 -25.6 0.34 -0.27 -0.65 37.427957 -122.174328 34.8 -0.8637 0.9576 0.3182 0.182 0.329 -2.355
0.10 21.4 3.5 -25.6 0.29 -0.34 -1.06 37.427957 -122.174328 34.8 -1.5924 0.1756 0.5164 0.201 0.287 -2.329
0.13 22.4 3.5 -25.2 0.15 -0.25 -0.91 37.427957 -122.174328 34.8 -0.7343 -1.5210 0.0383 0.172 0.254 -2.313
0.16 22.4 3.5 -25.2 -0.03 -0.09 -0.94 37.427957 -122.174328 34.8 0.5311 0.3711 -0.3124 0.154 0.252 -2.320
0.19 22.3 4.1 -25.0 0.21 -0.28 -0.55 37.427957 -122.174328 34.8 -0.4975 0.1126 -1.1430 0.174 0.257 -2.342
0.22 22.3 4.1 -25.0 -0.12 0.06 -1.08 37.427957 -122.174328 34.8 -3.4241 -0.0929 -0.0656 0.169 0.131 -2.358
0.25 21.6 8.8 -24.7 0.04 -0.24 -1.21 37.427957 -122.174328 34.8 -3.8327 -3.1883 0.2456 0.108 0.030 -2.339
0.28 21.6 8.8 -24.7 -0.28 0.03 -1.02 37.427957 -122.174328 34.8 -3.0444 -4.2896 1.5907 -0.014 -0.068 -2.311
0.31 18.7 13.1 -26.0 0.19 0.07 -0.69 37.427957 -122.174328 34.8 0.3359 -1.5350 1.6916 -0.077 -0.099 -2.261
0.35 18.7 13.1 -26.0 -0.42 -0.03 -0.99 37.427957 -122.174328 34.8 -1.6287 1.2518 1.7209 -0.048 -0.107 -2.209
0.38 16.6 15.3 -26.6 -0.25 -0.08 -0.87 37.427957 -122.174328 34.8 -1.2208 0.9959 0.5599 -0.010 -0.150 -2.180
0.41 16.6 15.3 -26.6 -0.48 -0.23 -1.24 37.427957 -122.174328 34.8 -1.5667 -2.3569 -0.6072 -0.035 -0.184 -2.183
0.44 16.8 16.5 -26.2 -0.85 -0.37 -1.41 37.427957 -122.174328 34.8 -1.9274 -2.9863 0.6097 -0.118 -0.239 -2.194
0.47 16.8 16.5 -26.2 -1.25 -0.46 -1.99 37.427957 -122.174328 34.8 -2.5433 -2.5949 -0.2459 -0.255 -0.342 -2.218
0.50 15.0 18.8 -25.8 -1.20 -0.08 -1.99 37.427957 -122.174328 34.8 -2.8735 -0.8293 -0.1731 -0.317 -0.418 -2.240
0.53 15.0 18.8 -25.8 -1.23 0.39 -1.99 37.427957 -122.174328 34.8 -0.3810 0.5165 -0.1334 -0.322 -0.459 -2.261
0.56 10.5 22.5 -24.8 -1.45 0.60 -2.00 37.427957 -122.174328 34.8 2.6196 -0.5742 -0.2772 -0.317 -0.417 -2.251
0.60 10.5 22.5 -24.8 -1.94 0.93 -2.01 37.427957 -122.174328 34.8 3.5109 -2.2416 -1.7866 -0.373 -0.285 -2.251
0.63 7.4 21.1 -26.3 -1.95 1.64 -2.01 37.427957 -122.174328 34.8 4.0240 -2.9443 -2.8438 -0.453 -0.165 -2.268
0.66 7.4 21.1 -26.3 -1.95 1.93 -2.01 37.427957 -122.174328 34.8 5.5555 -2.6579 -4.1578 -0.534 0.003 -2.294
0.69 0.3 9.0 -29.9 -1.67 1.94 -2.01 37.427957 -122.174328 34.8 6.8800 -1.6731 -5.2014 -0.593 0.224 -2.310
0.72 0.3 9.0 -29.9 -1.15 1.96 -1.35 37.427957 -122.174328 34.8 8.2447 -1.2249 -5.8444 -0.636 0.664 -2.319
0.75 -2.1 -4.0 -27.6 -0.47 1.99 0.05 37.427957 -122.174328 34.8 8.3540 -2.4527 -6.1080 -0.705 0.952 -2.300
0.78 -2.1 -4.0 -27.6 0.14 1.87 0.06 37.427957 -122.174328 34.8 5.7150 -1.1730 -5.6491 -0.788 1.208 -2.270
0.82 3.9 -18.9 -14.6 0.86 1.44 -0.31 37.427957 -122.174328 34.8 3.4341 1.0666 -5.0239 -0.652 1.392 -2.397
0.85 3.9 -18.9 -14.6 0.99 0.87 0.26 37.427957 -122.174328 34.8 4.0618 -2.3337 -3.8042 1.518 1.519 1.685
0.88 8.8 -18.7 -9.1 0.80 0.51 0.14 37.427957 -122.174328 34.8 3.3135 -2.5731 -2.6623 2.148 1.399 0.975
0.91 8.8 -18.7 -9.1 0.86 0.27 0.13 37.427957 -122.174328 34.8 2.5899 -0.9576 -1.8042 2.236 1.305 0.838
0.94 10.1 -15.8 -6.7 0.84 0.06 0.58 37.427957 -122.174328 34.8 2.9300 -0.3603 -1.2179 2.320 1.223 0.735
0.97 10.1 -15.8 -6.7 0.71 -0.18 0.84 37.427957 -122.174328 34.8 2.8613 -1.2293 -0.5897 2.420 1.117 0.589
1.00 9.5 -14.8 -5.8 0.65 -0.33 0.83 37.427957 -122.174328 34.8 1.8352 -0.7898 -0.4583 2.460 1.040 0.500
1.03 9.5 -14.8 -5.8 0.62 -0.42 0.65 37.427957 -122.174328 34.8 1.0289 -0.7524 -0.4248 2.464 1.001 0.472
1.06 8.8 -15.5 -6.0 0.72 -0.47 0.47 37.427957 -122.174328 34.8 0.4336 -0.6587 -0.4719 2.445 0.976 0.470
1.10 8.8 -15.5 -6.0 0.72 -0.47 0.47 37.427957 -122.174328 34.8 0.6321 -0.5854 -0.1287 2.398 0.914 0.489
1.13 8.6 -15.8 -5.8 0.65 -0.50 0.60 37.427957 -122.174328 34.8 0.6575 -0.5695 0.1953 2.400 0.895 0.466
1.16 8.6 -15.8 -5.8 0.59 -0.57 0.57 37.427957 -122.174328 34.8 0.4008 -0.4494 0.3298 2.400 0.878 0.445
1.19 8.2 -16.3 -5.8 0.58 -0.63 0.54 37.427957 -122.174328 34.8 0.4160 -0.4839 0.3409 2.399 0.863 0.427
1.22 8.2 -16.3 -5.8 0.55 -0.73 0.52 37.427957 -122.174328 34.8 0.3337 -0.6622 0.5123 2.400 0.862 0.395
1.25 7.0 -16.8 -5.3 0.52 -0.79 0.56 37.427957 -122.174328 34.8 0.1845 -0.5712 0.6436 2.402 0.869 0.359
1.28 7.0 -16.8 -5.3 0.44 -0.84 0.46 37.427957 -122.174328 34.8 -0.0044 -0.3265 0.7366 2.410 0.881 0.333
1.32 6.3 -17.6 -4.4 0.41 -0.84 0.45 37.427957 -122.174328 34.8 0.0783 -0.2711 0.7220 2.421 0.894 0.308
1.35 6.3 -17.6 -4.4 0.41 -0.78 0.53 37.427957 -122.174328 34.8 0.0236 -0.1890 0.8391 2.447 0.910 0.267
1.38 5.8 -18.5 -3.5 0.29 -0.74 0.50 37.427957 -122.174328 34.8 -0.0795 -0.1719 0.6900 2.464 0.925 0.240
1.41 5.8 -18.5 -3.5 0.31 -0.72 0.52 37.427957 -122.174328 34.8 -0.0211 -0.4627 0.7578 2.477 0.937 0.213
1.44 5.5 -18.3 -2.6 0.22 -0.73 0.59 37.427957 -122.174328 34.8 0.0296 -0.6424 0.9559 2.489 0.951 0.178
