iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:59:08 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
0.03 -10.4 -14.6 -28.8 0.00 -0.07 -1.01 37.428002 -122.174257 35.5 0.0412 0.0721 0.1845 0.046 0.046 -0.098
0.07 -10.1 -14.1 -28.7 0.06 -0.06 -1.04 37.428002 -122.174257 35.5 0.0009 -0.0108 -0.0684 0.044 0.048 -0.097
0.10 -10.1 -14.1 -28.7 0.08 -0.07 -0.87 37.428002 -122.174257 35.5 0.1471 0.3149 -0.0809 0.050 0.051 -0.099
0.13 -10.1 -14.0 -30.0 0.06 -0.15 -0.91 37.428002 -122.174257 35.5 -0.0250 0.4272 -0.0111 0.061 0.053 -0.100
0.16 -10.1 -14.0 -30.0 -0.06 -0.15 -1.18 37.428002 -122.174257 35.5 -0.8625 0.1050 -0.0907 0.064 0.036 -0.101
0.19 -9.7 -14.2 -29.8 0.00 -0.29 -1.97 37.428002 -122.174257 35.5 -0.6314 -0.2959 -0.3328 0.060 0.001 -0.107
0.22 -9.7 -14.2 -29.8 0.10 -0.31 -1.97 37.428002 -122.174257 35.5 2.1672 1.2214 -0.4341 0.074 0.028 -0.120
0.25 -8.3 -14.6 -27.8 0.23 -0.10 -1.97 37.428002 -122.174257 35.5 3.7559 0.2474 -0.7019 0.103 0.111 -0.144
0.28 -8.3 -14.6 -27.8 0.44 0.14 -1.96 37.428002 -122.174257 35.5 7.1643 -1.2441 -0.9795 0.090 0.269 -0.184
0.31 -7.7 -17.6 -23.3 0.27 0.16 -1.87 37.428002 -122.174257 35.5 9.9678 -1.2053 -0.5400 0.055 0.600 -0.242
0.35 -7.7 -17.6 -23.3 0.21 0.41 -1.24 37.428002 -122.174257 35.5 10.0620 -1.6007 -0.2241 0.037 0.878 -0.271
0.38 -7.2 -25.6 -6.8 0.19 0.39 0.46 37.428002 -122.174257 35.5 10.4514 -2.3151 0.0881 -0.003 1.163 -0.285
0.41 -7.2 -25.6 -6.8 -0.07 0.11 0.85 37.428002 -122.174257 35.5 8.1011 -1.7162 0.6140 -0.550 1.512 0.186
0.44 -7.0 -26.9 6.8 -0.07 0.05 0.58 37.428002 -122.174257 35.5 4.0020 -1.6163 -0.2772 -2.924 1.401 2.506
0.47 -7.0 -26.9 6.8 0.20 -0.10 0.98 37.428002 -122.174257 35.5 2.6602 0.1536 -1.0954 -3.099 1.317 2.667
0.50 -6.0 -23.4 18.6 0.20 -0.18 0.75 37.428002 -122.174257 35.5 1.4795 1.0314 -0.7976 3.105 1.253 2.773
0.53 -6.0 -23.4 18.6 0.01 -0.38 0.81 37.428002 -122.174257 35.5 0.6559 0.4604 -0.2047 3.090 1.230 2.809
0.56 -5.5 -21.7 20.6 -0.00 -0.60 0.59 37.428002 -122.174257 35.5 0.1313 0.3235 0.4147 3.129 1.209 2.783
0.60 -5.5 -21.7 20.6 -0.12 -0.71 0.45 37.428002 -122.174257 35.5 -0.4594 -0.0720 0.4979 -3.117 1.216 2.744
0.63 -5.2 -21.7 21.1 0.12 -1.02 0.54 37.428002 -122.174257 35.5 -0.4394 0.9798 0.5311 -3.057 1.226 2.695
